		2023-11-01	2023-12-14	2024-01-19	2024-02-15	2024-03-07	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14	2024-11-20
slow combustion fireplaces newcastle		21	26	9	6	4	4	4	1	1	2	2	2	2	2
slow combustion fireplaces darwin		6	9	3	3	3	1	1	1	2	2	2	2	2	2
slow combustion fireplaces perth		13	13	19	13	12	10	7	7	6	5	6	4	5	5
slow combustion fireplaces sunshine coast		48	-	3	3	1	2	2	3	2	2	3	3	2	2
freestanding fireplaces australia		13	19	14	14	17	10	15	13	13	14	11	25	23	23
freestanding fireplaces for sale		28	14	9	8	7	6	6	7	9	9	16	9	12	13
freestanding wood burning fireplace		14	18	16	16	14	13	10	12	9	11	9	10	13	15
freestanding indoor wood fireplace		-	-	12	16	10	12	13	13	14	19	15	12	19	18
freestanding fireplaces melbourne		29	57	21	14	15	8	8	15	14	9	9	10	17	15
freestanding fireplaces sydney		30	37	12	10	10	5	5	24	8	7	8	9	9	10
freestanding fireplaces hobart		33	49	1	1	1	1	1	1	2	3	1	1	1	1
freestanding fireplaces adelaide		-	-	10	9	7	5	4	9	6	6	5	5	6	5
freestanding fireplaces gold coast		-	-	5	4	5	3	3	4	4	3	4	4	4	4
freestanding fireplaces brisbane		84	-	9	8	8	8	9	6	7	7	6	9	9	6
freestanding fireplaces newcastle		72	77	9	3	4	3	3	1	3	2	3	5	5	5
freestanding fireplaces darwin		-	-	1	1	1	1	1	1	1	1	1	1	1	1
freestanding fireplaces perth		26	35	23	11	12	5	6	7	8	9	9	9	7	5
freestanding fireplaces sunshine coast		-	-	10	3	4	1	1	1	1	1	1	1	4	4
indoor fireplaces australia		90	-	8	10	12	3	3	4	12	5	7	2	17	16
indoor fireplaces for sale		-	-	13	13	12	9	7	10	16	12	10	9	10	10
indoor fireplaces melbourne		-	-	18	10	7	3	3	5	6	6	8	8	15	15
indoor fireplaces sydney		-	-	22	7	8	6	4	5	6	4	2	6	16	12
indoor fireplaces hobart		-	-	13	4	3	3	2	3	2	2	2	2	2	1
indoor fireplaces adelaide		-	-	14	6	5	1	1	3	2	2	2	3	6	6
indoor fireplaces gold coast		-	-	4	6	5	5	4	3	2	2	2	2	2	2
indoor fireplaces brisbane		-	-	14	7	6	5	6	7	12	7	6	8	10	8
indoor fireplaces newcastle		-	-	17	6	5	4	5	4	4	3	4	4	8	8
indoor fireplaces darwin		-	-	3	2	2	2	3	3	2	2	2	2	2	2
indoor fireplaces perth		-	-	8	6	3	3	3	4	6	6	7	7	10	10
indoor fireplaces sunshine coast		-	-	15	4	2	1	1	1	1	1	1	1	1	1
fireplace accessories		64	67	55	54	22	18	62	51	62	61	62	68	64	60
fireplace accessories for sale		61	76	22	20	13	12	16	12	16	15	15	15	17	16
fireplace accessories australia		21	36	20	20	14	11	12	11	16	34	26	26	21	22
fireplace accessories melbourne		74	90	15	15	14	14	13	9	12	14	21	5	13	14
fireplace accessories sydney		56	-	13	9	9	8	7	9	10	6	7	5	7	7
fireplace accessories hobart		18	18	3	3	3	2	2	1	1	1	1	1	2	2
fireplace accessories adelaide		35	55	11	3	3	3	6	5	5	3	3	3	5	5
fireplace accessories gold coast		54	65	12	3	2	2	1	1	1	1	1	1	2	2
fireplace accessories brisbane		34	-	10	8	6	5	5	3	2	2	3	3	6	7
fireplace accessories newcastle		-	-	5	4	4	4	4	3	1	1	1	3	3	3
fireplace accessories darwin		-	-	3	1	1	1	1	2	2	2	2	2	2	2
fireplace accessories perth		62	83	22	8	7	7	10	6	13	11	12	6	12	12
fireplace accessories sunshine coast		-	-	1	2	2	2	2	2	1	1	1	1	2	2
