		2023-03-21	2023-04-14	2023-04-17	2023-05-17	2023-06-05	2023-07-21	2023-08-08	2023-09-15	2023-10-20	2023-11-17	2023-11-27	2023-12-07	2024-01-19	2024-02-15	2024-02-19	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
behaviour support blacktown		18	17	17	28	20	-	-	2	3	2	2	2	2	1	1	1	2	2	1	1	2	2	2	2
behaviour support camden		-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
behaviour support campbelltown		10	10	10	11	11	12	11	8	8	12	11	13	8	7	7	4	3	4	2	6	7	5	7	10
behaviour support castle hill		5	4	8	4	7	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
behaviour support central coast		2	2	2	2	5	3	-	2	2	2	2	2	1	2	2	1	2	1	2	2	1	4	3	3
behaviour support macarthur		7	5	4	3	2	5	2	1	14	6	2	2	3	10	7	3	2	2	2	3	3	1	4	4
behaviour support newcastle		11	11	12	9	11	13	12	11	14	21	21	23	28	30	31	11	13	17	17	25	10	6	8	15
behaviour support parramatta		32	30	29	28	26	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
behaviour support penrith		38	34	32	46	36	-	47	51	56	53	-	69	60	2	2	2	1	1	2	2	2	2	2	2
behaviour support picton		-	-	-	22	17	17	19	23	-	3	3	2	2	2	2	1	1	2	1	4	2	1	1	1
behaviour support windsor		-	-	-	-	9	16	12	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
travel training blacktown		-	-	-	-	11	2	12	5	7	7	7	7	8	7	7	4	3	6	9	6	4	2	2	1
travel training castle hill		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1
travel training parramatta		-	-	-	-	-	-	6	4	1	2	2	1	1	1	1	1	2	2	1	2	1	3	2	2
travel training penrith		-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
community access ndis blacktown		-	-	-	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	2	2
community access ndis castle hill		11	8	9	4	4	4	4	7	3	4	3	1	2	3	2	1	1	2	1	2	1	1	1	1
community access ndis parramatta		69	61	56	21	14	13	12	13	6	3	6	3	3	4	4	3	4	3	3	3	4	3	1	1
community access ndis penrith		35	20	23	5	15	13	1	5	5	3	4	4	3	1	1	1	1	1	1	1	1	2	2	2
community access ndis ryde		-	-	-	3	3	3	3	4	3	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1
community access ndis windsor		-	-	-	9	4	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
community participation blacktown		-	-	-	6	9	4	8	8	8	12	11	10	8	8	9	5	5	4	8	4	14	11	16	9
community participation castle hill		-	-	-	2	3	3	2	2	-	-	32	-	-	-	-	1	1	3	3	1	4	4	3	4
community participation parramatta		-	-	-	-	-	-	-	-	6	6	6	7	8	12	14	15	13	12	13	24	8	8	9	12
community participation penrith		-	-	-	-	-	-	3	9	9	8	7	9	8	8	8	19	9	4	5	6	9	7	10	9
disability services blacktown		62	-	-	24	26	15	14	16	15	21	21	18	21	23	25	26	33	29	32	34	46	24	40	37
disability services castle hill		15	13	12	13	14	16	22	17	10	16	13	12	14	11	11	18	9	14	14	11	10	9	6	7
disability services parramatta		46	44	46	32	32	32	29	34	15	17	19	18	17	16	16	19	10	9	28	14	13	14	14	16
disability services penrith		29	27	26	27	20	28	18	18	18	22	24	29	31	26	28	32	26	26	24	30	27	24	24	20
disability support workers blacktown		-	-	-	32	28	35	38	27	26	29	34	38	33	27	23	31	63	29	27	47	48	43	30	36
disability support workers castle hill		-	27	-	36	35	35	43	34	16	11	11	10	8	8	8	18	8	7	9	8	8	9	8	7
disability support workers parramatta		-	-	-	-	-	-	66	52	78	48	82	79	-	58	63	61	55	57	63	56	54	48	56	67
disability support workers penrith		-	-	-	63	-	-	26	-	-	37	40	39	39	47	-	62	33	33	26	26	28	45	37	44
disability support workers ryde		-	-	-	20	23	19	21	22	20	27	26	21	22	7	8	7	5	5	5	5	5	6	9	5
disability support workers windsor		-	-	-	19	7	10	4	4	8	5	5	5	5	4	4	4	4	4	4	4	4	4	5	10
ndis housing blacktown		78	74	77	69	82	14	26	23	2	2	2	2	1	2	2	4	3	3	4	4	4	3	7	5
ndis housing castle hill		30	11	11	9	10	18	17	1	9	2	3	3	2	1	1	1	1	1	1	1	1	1	1	1
ndis housing parramatta		54	50	49	54	55	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ndis housing penrith		72	69	63	70	74	63	30	53	-	-	-	-	-	-	-	92	74	3	4	7	7	5	6	7
disability housing vacancies blacktown		-	-	-	-	-	-	18	-	4	1	1	1	1	1	1	3	3	2	2	2	1	2	4	5
disability housing vacancies castle hill		7	5	5	5	6	-	2	1	1	2	2	1	1	1	1	1	1	1	1	1	2	2	1	2
disability housing vacancies parramatta		70	-	-	-	-	4	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2
disability housing vacancies penrith		38	35	31	33	21	-	4	16	47	-	-	-	2	36	37	30	29	2	2	3	6	10	4	15
disability housing vacancies ryde		-	-	-	-	-	2	1	2	2	2	2	2	2	1	1	1	1	1	2	2	1	1	1	1
disability housing vacancies windsor		-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ndis providers blacktown		-	-	-	43	40	41	45	40	-	28	29	25	26	35	36	39	42	41	54	42	46	72	61	66
ndis providers castle hill		43	35	45	5	5	6	5	6	5	6	7	5	6	5	5	4	5	5	8	5	4	1	1	3
ndis providers parramatta		71	70	69	42	37	38	40	36	10	13	12	11	12	10	10	17	18	19	20	18	21	18	19	19
ndis providers penrith		-	72	74	44	41	42	7	9	11	11	9	11	12	11	11	20	28	17	14	12	14	16	21	20
ndis psychologist blacktown		-	-	-	-	-	-	-	2	1	3	3	3	1	1	1	1	1	2	1	1	1	1	1	1
ndis psychologist camden		-	-	-	-	-	1	1	1	3	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1
ndis psychologist campbelltown		-	-	-	-	-	-	-	-	-	89	-	-	7	7	7	7	7	7	7	7	7	6	7	4
ndis psychologist castle hill		78	-	-	2	2	2	2	2	1	1	1	1	1	1	2	2	1	1	1	2	1	2	1	1
ndis psychologist central coast		19	20	19	16	21	3	3	2	1	1	2	2	3	3	3	2	1	3	3	3	3	2	3	4
ndis psychologist macarthur		39	29	31	1	1	6	6	1	5	1	2	1	2	2	2	1	1	1	1	1	1	1	1	1
ndis psychologist newcastle		34	31	28	32	28	33	32	43	37	31	43	41	37	31	31	7	1	5	5	5	6	1	13	12
ndis psychologist parramatta		-	-	-	-	-	5	5	4	5	5	5	5	4	3	2	2	2	1	1	4	2	2	3	3
ndis psychologist penrith		-	-	-	-	-	-	-	-	89	-	-	-	-	6	6	7	7	5	3	5	4	5	1	1
ndis psychologist picton		-	-	-	-	2	-	1	-	3	2	2	1	1	1	1	1	1	1	2	1	2	2	2	2
ndis psychologist windsor		-	-	-	3	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
ndis support coordination blacktown		-	59	51	5	5	3	3	3	2	1	2	1	1	1	1	3	3	3	3	3	3	2	3	3
ndis support coordination castle hill		17	15	16	14	17	12	12	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ndis support coordination parramatta		62	47	45	51	42	43	45	49	39	33	44	32	38	38	38	57	9	8	10	9	2	2	1	1
ndis support coordination penrith		69	63	62	55	61	63	28	32	35	23	22	24	22	17	17	46	7	8	1	8	5	1	3	5
ndis support coordination windsor		-	-	-	16	-	7	7	4	3	3	3	2	2	2	2	2	2	2	2	2	5	2	3	2
ndis support coordination ryde		-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ndis support coordination mt druitt		41	38	37	-	2	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
supported independent living blacktown		-	-	-	-	-	32	-	-	5	6	7	7	5	4	4	4	5	6	7	10	11	11	13	8
supported independent living castle hill		-	-	-	82	72	-	-	64	16	2	2	2	2	2	2	2	2	2	4	4	4	2	3	2
supported independent living parramatta		-	-	-	-	-	1	1	1	1	1	1	1	-	1	1	1	1	1	3	2	1	1	1	1
supported independent living penrith		-	-	-	-	-	60	47	37	-	-	-	-	-	-	-	-	-	6	8	12	5	4	4	4
parents with disability sydney		-	-	-	7	6	9	6	10	-	-	-	-	7	-	-	6	9	8	5	3	3	3	3	3
ndis services blacktown		-	-	-	-	-	-	-	-	-	-	-	-	-	-	20	20	30	28	28	23	30	21	28	34
ndis services camden		-	-	-	-	-	-	-	-	-	-	-	-	-	-	16	28	27	26	23	9	10	18	8	5
ndis services campbelltown		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	90	-	-	-	98	78	60	20
ndis services castle hill		-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	5	1	1	7	5	1	3	2	3
ndis services central coast		-	-	-	-	-	-	-	-	-	-	-	-	-	-	86	84	78	82	87	79	88	69	79	22
ndis services macarthur		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	49	27	28	66	75	60	11	12	15
ndis services newcastle		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ndis services parramatta		-	-	-	-	-	-	-	-	-	-	-	-	-	-	15	34	18	19	27	18	20	18	13	17
ndis services penrith		-	-	-	-	-	-	-	-	-	-	-	-	-	-	33	38	29	27	29	11	12	11	15	15
ndis services picton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	8	10	8	8	10	10	11	2	13
ndis services sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	43	39	39	67	12	14	9	9	7
ndis services windsor		-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3	4	3	3	3	3	3	11	14
specialist disability accommodation agency blacktown		-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	9	10	10	20	1	1	2	3	2
specialist disability accommodation agency camden		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	2	2	2
specialist disability accommodation agency campbelltown		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1	1	2	2
specialist disability accommodation agency castle hill		-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	3	3	2	2	1	1	1	1
specialist disability accommodation agency central coast		-	-	-	-	-	-	-	-	-	-	-	-	-	-	45	-	37	41	58	2	2	3	3	3
specialist disability accommodation agency macarthur		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	-	7	3	12	9	1
specialist disability accommodation agency newcastle		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	2	4	4	4
specialist disability accommodation agency parramatta		-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	2	3	3	1	1	1	1	1	1
specialist disability accommodation agency penrith		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	28	5	5	3	3	2	5
specialist disability accommodation agency picton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	1
specialist disability accommodation agency sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	30	28	26	2	2	2	3	4
specialist disability accommodation agency windsor		-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	1	1	1	1	1	1	1
disability home care blacktown		-	-	-	-	-	-	-	-	-	-	-	-	-	-	22	30	57	59	63	71	82	-	57	65
disability home care camden		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	31	31	50
disability home care campbelltown		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11
disability home care castle hill		-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	14	22	19	21	22	20	9	11	10
disability home care central coast		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
disability home care macarthur		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17
disability home care newcastle		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
disability home care parramatta		-	-	-	-	-	-	-	-	-	-	-	-	-	-	64	60	-	-	75	75	66	71	96	92
disability home care penrith		-	-	-	-	-	-	-	-	-	-	-	-	-	-	97	-	-	-	-	-	-	-	-	-
disability home care picton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1
disability home care sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	41	34	14	-	-
disability home care windsor		-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	2	2	1	1	1	2	1	7	9
