		2021-10-21	2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-01	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-01	2023-03-14	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-10-07
jaw specialist melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1
jaw stiffness caulfield		-	-	-	-	-	-	-	-	-	-	2	3	3	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
melbourne tmj centre		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Melbourne TMJ Centre Review		3	3	3	2	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
sleep apnoea treatment armadale		5	6	6	5	6	6	4	5	5	6	5	5	6	3	2	4	5	5	6	5	6	7	4	6	3	1	1	2	1	1	1	2	1	2	1	3
sleep apnoea treatment malvern		5	6	5	4	5	3	3	3	3	2	2	3	1	1	5	6	7	6	7	7	8	6	5	1	7	6	7	7	8	7	8	6	9	7	6	10
sleep apnoea treatment caulfield		-	-	-	-	-	-	-	-	-	-	4	5	5	5	3	3	1	1	4	3	6	7	6	3	3	2	1	5	4	3	3	4	3	3	4	6
Botox treatment caulfield		-	-	-	-	-	-	-	-	-	-	37	46	29	9	6	6	6	5	5	5	9	10	8	8	9	6	6	10	9	9	9	8	4	6	6	10
snoring treatment armadale		5	3	3	2	2	2	4	3	3	2	2	4	3	4	2	1	3	4	4	3	2	3	1	2	2	2	1	1	1	1	1	1	1	1	1	1
snoring treatment malvern		2	2	2	3	2	2	2	2	2	2	2	4	3	3	5	3	4	4	1	1	1	4	4	1	1	1	1	1	1	1	1	1	1	2	1	6
snoring treatment caulfield		-	-	-	-	-	-	-	-	-	-	4	4	4	3	3	3	3	3	3	3	4	3	3	1	1	1	2	2	3	3	1	2	3	3	2	3
teeth clenching caulfield		-	-	-	-	-	-	-	-	-	-	1	4	3	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
teeth clenching melbourne		8	7	5	7	9	6	4	1	1	3	2	4	2	3	2	4	5	4	5	2	6	3	4	2	1	1	1	1	1	1	1	1	1	1	1	8
tmj centre melbourne		2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
tmj clinic melbourne		2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
tmj melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	1
tmj specialist		2	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
tmj specialist caulfield		-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
tmj specialist melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	2	2	2	1	1	1	2	1	1	1	1	1	1	1	1
tmj therapy melbourne		1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
tmj treatment melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	2	2	2	2	1	1	2	2	1	1	1	1	2	1	1	1
Muscle relaxant injections melbourne		-	-	-	-	-	-	-	-	-	-	3	4	4	2	3	3	4	4	4	2	2	2	3	2	1	1	1	1	1	1	1	1	1	1	1	1
Botox treatment melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	96	62	61	40	42	29	22	52	73	-	86	78	-	-	91	-	-	-	-	77	80	87	87
TMJ relief melbourne		-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	2	1	2	2	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1
sleep apnoea test caulfield		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	6	3	3	3	2	1	1	2	1	1	2	2	2	2	1	4
sleep apnoea test elsternwick		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	-	-	11	11	4	4	4	3	2	2	3	3	3	2
sleep apnoea test armadale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	10	9	7	5	1	5	5	5	1	1	1	5	5	5	5	5
sleep apnoea test malvern		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13	11	9	8	7	7	7	7	7	7	8	8	8	8	7	8	7	5
sleep apnoea test toorak		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1	1	1	1	1	1	1	2	2	2	2	2	1
