		2023-07-13	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-04-29	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
tundra grey tiles		6	8	5	8	8	9	17	23	18	51	33	55	56	53	63	48	79	76
tundra grey stone tile		6	7	5	8	9	12	12	11	10	9	10	12	13	16	16	32	40	31
bianco carrara stone tile		18	19	15	13	16	19	18	15	16	15	16	18	16	14	13	12	12	8
marble benchtops		92	81	-	94	-	-	-	-	98	-	-	-	-	61	62	91	-	83
marble kitchen benchtops		-	-	-	-	-	24	48	47	31	26	26	93	86	33	28	93	-	-
marble benchtops melbourne		90	-	-	-	-	25	59	56	62	75	68	78	77	45	45	19	11	11
marble benchtops sydney		-	-	-	-	-	62	56	64	74	86	97	-	-	-	27	30	27	29
granite benchtops		-	-	-	-	-	-	-	-	-	-	-	-	-	-	76	99	95	39
granite kitchen benchtops		-	-	72	-	-	-	71	27	52	26	27	51	43	33	23	75	37	42
granite benchtops melbourne		53	51	43	37	47	40	52	53	47	57	57	60	18	24	12	11	80	5
quartzite benchtops		18	22	22	19	31	13	21	21	19	18	16	25	20	23	18	16	16	17
stone benchtops		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	85
stone benchtops melbourne		-	-	-	-	-	-	-	-	83	71	77	79	-	74	80	-	66	63
stone benchtops sydney		-	-	-	-	-	-	63	89	84	85	90	72	57	84	68	92	83	97
stone suppliers geelong		-	-	-	-	-	-	-	-	-	-	-	-	-	7	5	5	4	4
stone suppliers mornington peninsula		-	-	-	-	-	-	-	-	-	-	-	-	-	5	7	6	2	8
stone suppliers toorak		-	-	-	-	-	-	-	-	-	-	-	-	-	1	2	3	3	2
stone suppliers richmond		-	-	-	-	-	-	-	-	-	-	-	-	-	3	1	1	3	1
stone suppliers kew		-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1
stone suppliers brighton		-	-	-	-	-	-	-	-	-	-	-	-	-	4	3	2	3	3
stone suppliers camberwell		-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	3	1
stone suppliers braeside		-	-	-	-	-	-	-	-	-	-	-	-	-	4	5	1	1	1
stone suppliers dandenong		-	-	-	-	-	-	-	-	-	-	12	12	10	10	11	7	5	3
stone suppliers moorabbin		-	-	-	-	-	-	-	-	-	-	13	13	-	6	5	5	5	3
stone suppliers clayton		-	-	-	-	-	-	-	-	-	-	-	-	-	5	8	5	3	4
stone pavers geelong		-	-	-	-	-	-	-	-	-	-	-	-	-	12	10	9	12	10
stone pavers mornington peninsula		-	-	-	-	-	-	-	-	-	-	-	-	-	12	11	11	14	17
stone pavers toorak		-	-	-	-	-	-	-	-	-	-	-	-	-	3	3	2	2	2
stone pavers richmond		-	-	-	-	-	-	-	-	-	-	-	-	-	6	4	3	3	3
stone pavers kew		-	-	-	-	-	-	-	-	-	-	-	-	-	2	3	2	1	2
stone pavers brighton		-	-	-	-	-	-	-	-	-	-	-	-	-	7	4	5	10	4
stone pavers camberwell		-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	2	2
stone pavers braeside		-	-	-	-	-	-	-	-	-	-	-	-	-	3	5	2	1	2
stone pavers dandenong		-	-	-	-	-	-	-	-	-	-	15	16	36	11	13	15	13	12
stone pavers moorabbin		-	-	-	-	-	-	-	-	-	-	-	-	-	14	6	4	3	4
stone pavers clayton		-	-	-	-	-	-	-	-	-	-	-	-	-	9	8	7	9	7
stone slabs geelong		-	-	-	-	-	-	-	-	-	-	-	-	-	6	4	8	3	5
stone slabs mornington peninsula		-	-	-	-	-	-	-	-	-	-	-	-	-	4	3	6	2	8
stone slabs toorak		-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	2	2	2
stone slabs richmond		-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	8	2
stone slabs kew		-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	2	2
stone slabs brighton		-	-	-	-	-	-	-	-	-	-	-	-	-	2	1	4	2	3
stone slabs camberwell		-	-	-	-	-	-	-	-	-	-	-	-	-	1	2	1	1	1
stone slabs braeside		-	-	-	-	-	-	-	-	-	-	-	-	-	1	2	2	1	1
stone slabs dandenong		-	-	-	-	-	-	-	-	-	-	7	6	7	5	6	5	4	4
stone slabs moorabbin		-	-	-	-	-	-	-	-	-	-	-	-	-	5	3	4	3	4
stone slabs clayton		-	-	-	-	-	-	-	-	-	-	-	-	-	4	6	7	4	4
stone tiles geelong		-	-	-	-	-	-	-	-	-	-	-	-	-	12	12	10	8	8
stone tiles mornington peninsula		-	-	-	-	-	-	-	-	-	-	-	-	-	7	7	5	6	7
stone tiles toorak		-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	2	1	3
stone tiles richmond		-	-	-	-	-	-	-	-	-	-	-	-	-	16	10	9	13	14
stone tiles kew		-	-	-	-	-	-	-	-	-	-	-	-	-	3	2	2	1	2
stone tiles brighton		-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	2	2
stone tiles camberwell		-	-	-	-	-	-	-	-	-	-	72	-	-	1	1	1	1	2
stone tiles braeside		-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1
stone tiles dandenong		-	-	-	-	-	-	-	-	-	-	8	7	15	4	8	7	7	8
stone tiles moorabbin		-	-	-	-	-	-	-	-	-	-	-	-	-	6	5	4	3	7
stone tiles clayton		-	-	-	-	-	-	-	-	-	-	-	-	-	3	6	2	7	6
stone benchtops geelong		-	-	-	-	-	-	-	-	-	-	-	-	-	11	11	11	9	8
stone benchtops mornington peninsula		-	-	-	-	-	-	-	-	-	-	-	-	-	9	8	9	9	7
stone benchtops toorak		-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	2	4
stone benchtops richmond		-	-	-	-	-	-	-	-	-	-	-	-	-	6	5	5	2	5
stone benchtops kew		-	-	-	-	-	-	-	-	-	-	-	-	-	3	3	3	2	4
stone benchtops brighton		-	-	-	-	-	-	-	-	-	-	-	-	-	3	3	3	2	3
stone benchtops camberwell		-	-	-	-	-	-	-	-	-	-	-	-	-	3	4	4	3	6
stone benchtops braeside		-	-	-	-	-	-	-	-	-	-	-	-	-	7	8	8	8	8
stone benchtops dandenong		-	-	-	-	-	-	-	-	-	-	53	61	44	15	16	22	9	18
stone benchtops moorabbin		-	-	-	-	-	-	-	-	-	-	-	-	-	8	7	11	7	7
stone benchtops clayton		-	-	-	-	-	-	-	-	-	-	-	-	-	5	8	6	3	10
