		2022-07-04	2022-08-17	2022-09-06	2022-09-09	2022-09-30	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-09	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-09-19	2023-10-20	2023-11-17	2023-11-24	2023-12-14	2024-01-19	2024-02-15	2024-03-05	2024-04-09	2024-05-16	2024-05-28	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
feasibility study report melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1
planning permit agent melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	4
planning permits consultants melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	6
planning permits expert melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	6
planning permits melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	35	45
property development project manager melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	42
property development consultant melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1
property development feasibility melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17	18	8	16	16	1	1
property feasibility analysis melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16	7	24	17	21	1	1
property investment agent melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	4	4	4	4	2	6
real estate developer consultant melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	1	1	1	1	1
real estate development melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	43	55	45	35	62	48	37
real estate investing melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	49	42	42	44	45	34	41
townhouse development consultant melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1
townhouse development feasibility melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	13	13	15	16	2	2
buyers advocate ivanhoe		17	8	9	9	8	11	8	4	5	4	2	2	2	3	3	3	2	3	2	2	2	2	2	2	2	2	1	1	1	1	1	2	2	1
buyers advocate doncaster		-	-	-	-	51	54	4	4	3	3	30	4	3	-	-	3	4	4	3	4	4	4	4	6	5	6	6	5	6	4	8	7	48	45
buyers advocate northcote		-	-	-	-	29	27	12	18	20	20	4	5	4	4	5	3	5	4	5	2	2	2	3	3	3	3	3	3	3	3	3	3	3	4
buyers advocate box hill		-	-	-	-	-	-	3	3	3	3	3	3	3	4	4	4	4	4	3	4	3	3	2	2	3	2	3	2	2	2	3	3	2	2
buyers agent ivanhoe		-	-	-	-	-	-	-	2	35	32	32	4	4	4	5	4	3	3	3	3	2	3	3	2	2	2	1	1	1	1	1	1	1	1
buyers agent doncaster		-	-	-	-	-	-	-	-	-	6	5	2	6	-	-	7	59	67	57	62	56	47	58	60	51	48	43	38	45	43	35	38	67	73
buyers agent northcote		-	-	-	-	-	-	-	-	-	-	-	8	6	4	5	4	4	4	5	3	3	3	3	3	3	3	3	3	3	3	3	4	6	3
buyers agent box hill		-	-	-	-	-	-	4	4	5	6	3	5	4	4	3	3	4	4	3	3	3	4	3	4	3	4	4	3	4	11	4	4	4	4
