		2022-11-16	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-03-20	2023-04-03	2023-04-14	2023-05-17	2023-05-26	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-11	2023-10-30	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-01	2024-05-31	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
security systems frankston		11	12	11	10	10	10	9	9	10	10	10	11	8	5	7	5	8	6	7	9	5	5	5	8	7	5	6	7	7	7
security systems glen waverley		-	-	6	5	-	7	7	6	8	7	5	5	5	5	4	4	4	4	4	5	2	2	2	2	2	2	2	2	3	3
security systems hampton park		-	-	4	4	5	5	5	4	5	4	4	4	3	3	3	5	3	2	2	2	2	2	1	1	1	1	2	2	2	3
security systems keysborough		3	3	3	5	3	3	4	3	3	3	3	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	3	4
security systems pakenham		6	6	6	8	8	8	8	7	7	7	7	8	6	4	2	3	3	2	4	4	2	2	2	2	2	2	2	2	2	1
security systems springvale		-	-	8	4	3	5	5	3	3	3	3	3	3	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2
security systems for warehouse melbourne		-	-	-	-	-	-	-	-	6	8	7	6	7	5	3	3	3	2	2	2	2	2	3	2	2	3	2	2	5	7
cctv for warehouse melbourne		-	-	-	-	-	-	-	-	8	9	11	30	9	7	4	6	6	7	6	5	6	4	4	5	7	3	7	5	5	10
hikvision wireless alarms melbourne		-	-	-	-	-	-	-	21	13	-	16	20	11	9	2	5	2	2	3	4	4	13	8	7	9	7	5	5	2	1
cctv dromana		-	-	-	-	-	-	-	-	11	10	11	9	5	7	7	5	7	6	5	5	5	4	3	2	4	4	2	2	2	3
cctv box hill		-	-	-	-	-	-	-	-	-	11	11	11	11	6	5	6	5	4	4	4	5	4	4	4	6	16	5	4	4	5
cctv moorabbin		-	-	-	-	-	-	-	-	-	80	9	10	8	9	7	8	9	7	10	12	12	11	11	11	14	14	11	9	11	11
cctv doncaster		-	-	-	-	-	-	-	-	-	13	16	24	12	10	14	12	12	11	11	12	8	10	7	9	11	11	8	8	8	8
cctv mornington		-	-	-	-	-	-	-	-	-	-	25	27	25	-	17	16	16	15	17	20	14	16	15	17	20	20	15	7	9	12
cctv narre warren		-	-	-	-	-	-	-	-	-	-	64	-	9	9	6	6	6	5	4	4	10	8	8	8	10	10	9	2	5	9
cctv carrum downs		-	-	-	-	-	-	-	15	7	7	8	8	7	9	9	8	10	7	8	8	9	6	5	6	7	6	4	3	5	7
cctv noble park		-	-	-	-	-	-	-	12	7	7	7	9	10	10	11	8	10	8	7	6	5	4	4	5	6	4	4	4	3	7
cctv rowville		-	-	-	-	-	-	-	14	13	12	11	12	12	11	11	8	6	5	4	4	4	2	2	4	3	3	3	6	3	6
cctv clyde		-	-	-	-	-	-	-	-	-	9	-	9	8	6	8	7	10	13	15	13	13	12	11	11	14	13	10	9	9	13
cctv mount eliza		-	-	-	-	-	-	-	-	8	10	6	4	7	7	5	8	7	7	7	7	4	4	4	2	2	1	1	1	1	3
cctv officer		-	-	-	-	-	-	-	-	-	-	-	-	-	30	57	-	72	65	63	63	53	61	58	66	60	94	39	23	11	10
cctv hallam		-	-	-	-	-	-	-	15	8	10	10	5	4	4	3	2	2	3	3	4	3	2	2	2	2	2	2	2	2	1
cctv burwood		-	-	-	-	-	-	-	-	-	-	-	-	8	7	6	7	8	8	3	1	2	1	1	1	2	6	1	3	3	4
cctv croydon		-	-	-	-	-	-	-	-	-	-	-	19	-	8	8	6	11	10	5	4	6	4	3	3	4	5	3	3	-	4
cctv ringwood		-	-	-	-	-	-	-	-	-	-	-	15	14	15	15	9	14	12	12	12	15	13	13	12	12	14	8	5	7	9
cctv oakleigh		-	-	-	-	-	-	-	-	-	9	-	22	26	13	8	7	13	8	7	7	7	7	6	8	5	10	8	8	6	8
cctv wantirna		-	-	-	-	-	-	-	13	8	8	7	9	6	7	5	6	8	3	4	3	3	3	2	4	4	6	3	4	4	4
cctv langwarrin		-	-	-	-	-	-	-	-	-	6	6	6	6	8	9	2	3	5	4	4	4	4	5	5	5	4	6	3	3	3
cctv bayswater		-	-	-	-	-	-	-	-	16	14	21	18	21	11	8	9	8	7	4	5	5	5	6	6	8	7	5	4	3	9
security alarms dromana		-	-	-	-	-	-	-	-	4	4	4	5	4	4	3	3	3	3	1	2	2	3	2	3	3	3	3	2	3	3
security alarms box hill		-	-	-	-	-	-	-	-	-	6	8	8	9	8	6	10	6	5	4	4	5	3	3	2	2	2	3	1	4	2
security alarms moorabbin		-	-	-	-	-	-	-	-	25	6	6	7	7	6	7	6	8	7	8	8	7	5	4	8	8	9	6	3	7	6
security alarms doncaster		-	-	-	-	-	-	-	-	-	9	8	9	5	8	7	6	7	7	7	6	5	8	5	8	8	6	4	3	2	3
security alarms mornington		-	-	-	-	-	-	-	16	17	18	12	13	10	9	9	11	10	8	7	10	10	6	8	11	12	8	7	6	10	12
security alarms narre warren		-	-	-	-	-	-	-	7	4	5	5	5	6	4	3	4	3	3	4	2	4	3	3	3	3	2	2	1	1	2
security alarms carrum downs		-	-	-	-	-	-	-	9	6	6	5	5	5	3	3	2	3	1	1	2	4	4	4	4	5	5	4	2	7	4
security alarms noble park		-	-	-	-	-	-	-	2	3	4	4	6	4	5	5	5	4	4	4	4	4	4	3	3	3	4	4	3	3	3
security alarms rowville		-	-	-	-	-	-	-	4	4	3	3	5	4	4	4	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1
security alarms clyde		-	-	-	-	-	-	-	-	96	9	33	10	7	7	6	6	6	5	4	4	4	4	4	4	6	2	4	4	7	13
security alarms mount eliza		-	-	-	-	-	-	-	-	2	2	10	5	6	3	3	4	5	3	3	4	2	2	2	2	2	2	2	2	2	3
security alarms officer		-	-	-	-	-	-	-	-	-	5	51	4	5	6	4	5	3	1	1	1	1	1	1	1	1	1	3	1	1	1
security alarms hallam		-	-	-	-	-	-	-	5	4	3	5	5	3	1	2	1	2	3	2	2	1	3	3	3	3	3	3	2	2	3
security alarms burwood		-	-	-	-	-	-	-	-	5	7	6	6	6	2	2	2	4	3	5	4	4	3	3	3	3	2	3	3	4	7
security alarms croydon		-	-	-	-	-	-	-	-	7	7	7	8	8	7	8	7	7	9	7	5	6	4	5	4	5	4	1	3	1	7
security alarms ringwood		-	-	-	-	-	-	-	-	61	42	38	8	11	8	7	6	6	8	6	6	8	6	4	4	6	7	3	4	6	4
security alarms oakleigh		-	-	-	-	-	-	-	-	-	5	28	5	3	4	4	3	4	3	3	3	3	2	2	2	2	2	3	2	4	4
security alarms wantirna		-	-	-	-	-	-	-	4	3	3	3	4	3	4	4	4	4	2	2	2	2	2	2	3	3	3	3	2	2	3
security alarms langwarrin		-	-	-	-	-	-	-	-	34	5	5	8	7	7	5	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1
security alarms bayswater		-	-	-	-	-	-	-	-	5	6	6	8	13	8	11	9	6	6	4	3	3	4	4	5	5	4	4	3	4	6
security systems dromana		-	-	-	-	-	-	-	-	4	3	4	4	4	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
security systems box hill		-	-	-	-	-	-	-	-	-	8	6	9	6	7	6	7	6	5	6	6	6	5	4	4	2	1	3	5	3	4
security systems moorabbin		-	-	-	-	-	-	-	-	25	16	6	7	7	7	8	7	8	8	10	10	10	8	6	7	9	6	5	5	4	5
security systems doncaster		-	-	-	-	-	-	-	-	-	7	8	8	7	6	7	8	7	9	9	9	4	4	4	9	9	7	6	5	2	2
security systems mornington		-	-	-	-	-	-	-	23	22	21	18	17	19	11	11	13	12	11	11	11	12	12	11	12	11	17	10	10	11	12
security systems narre warren		-	-	-	-	-	-	-	-	45	33	36	9	9	6	8	7	8	7	9	6	5	3	2	3	3	2	2	1	1	2
security systems carrum downs		-	-	-	-	-	-	-	9	7	6	6	9	9	6	5	5	4	3	3	3	5	4	5	5	5	4	5	4	4	3
security systems noble park		-	-	-	-	-	-	-	2	3	3	2	4	3	4	3	3	4	4	3	3	2	1	2	3	2	2	3	2	1	2
security systems rowville		-	-	-	-	-	-	-	4	9	6	5	5	3	5	4	5	4	4	2	3	2	2	2	2	2	2	2	2	2	1
security systems clyde		-	-	-	-	-	-	-	41	-	7	-	9	8	7	6	5	8	9	8	7	5	5	4	5	7	4	6	4	5	13
security systems mount eliza		-	-	-	-	-	-	-	-	5	4	4	6	4	4	3	6	5	4	3	3	2	2	2	2	2	2	2	1	1	2
security systems officer		-	-	-	-	-	-	-	-	-	-	-	6	3	4	3	2	2	4	3	2	1	2	1	2	2	9	4	2	6	1
security systems hallam		-	-	-	-	-	-	-	16	14	15	9	22	8	4	3	3	3	4	3	3	3	5	5	6	6	4	5	3	3	2
security systems burwood		-	-	-	-	-	-	-	-	62	7	6	6	7	3	1	2	3	2	2	2	3	2	2	2	2	2	2	3	4	5
security systems croydon		-	-	-	-	-	-	-	-	81	57	74	9	9	8	8	8	10	9	2	4	6	4	4	4	5	3	1	1	1	3
security systems ringwood		-	-	-	-	-	-	-	-	12	42	39	12	9	12	10	7	12	11	11	9	14	7	6	4	4	6	2	1	7	7
security systems oakleigh		-	-	-	-	-	-	-	-	-	5	5	5	2	4	2	4	3	3	3	3	3	2	2	2	2	2	2	2	4	4
security systems wantirna		-	-	-	-	-	-	-	5	3	4	4	4	3	7	4	5	4	2	2	2	2	2	2	3	3	3	3	3	3	3
security systems langwarrin		-	-	-	-	-	-	-	-	3	5	6	6	7	11	8	2	2	2	2	1	1	2	1	1	1	1	1	1	1	1
security systems bayswater		-	-	-	-	-	-	-	-	79	41	7	16	14	7	8	9	7	7	5	2	2	2	2	2	2	2	3	3	3	2
