		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-05-22	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
balustrades eltham		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
balustrades greensborough		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
balustrades Heidelberg		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
balustrades templestowe		1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glass balustrades bundoora		2	2	1	1	1	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1
glass balustrades croydon		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glass balustrades doncaster		1	2	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1	2
glass balustrades greensborough		1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
glass balustrades heidelberg		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glass balustrades ringwood		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	2	1	1	1
glass pool fencing doncaster		9	13	11	9	9	11	12	8	14	13	14	13	8	5	5	8	5	7	8	5	5	7	6	7	10	8	6	7	7	9	12	16	21	13	15
glass pool fencing heidelberg		11	9	8	8	12	10	9	8	13	16	24	21	13	8	6	7	7	7	7	5	11	11	10	11	12	14	9	10	8	10	11	10	13	9	10
wire balustrade melbourne		1	1	2	2	2	2	2	2	2	2	2	2	2	2	3	2	1	1	1	1	4	3	4	3	5	4	4	2	2	3	4	2	5	5	5
stainless steel wire balustrade melbourne		5	5	3	2	2	2	3	2	3	3	3	3	2	3	3	3	5	3	3	2	4	5	5	5	5	4	3	2	3	3	4	4	4	4	6
balustrades blackburn		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
balustrades bulleen		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
balustrades diamond creek		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
balustrades montmorency		1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
balustrades surrey hills		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
balustrades watsonia		1	1	1	1	1	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glass balustrades balwyn		1	1	1	1	1	2	1	1	1	1	2	2	1	2	1	3	1	1	1	2	1	2	2	1	1	1	1	3	2	2	3	1	1	1	1
glass balustrades burwood		1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
balustrades doncaster		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1
glass balustrades mitcham		1	1	1	1	1	1	1	2	1	1	3	2	2	3	1	1	2	1	1	2	2	1	2	2	2	1	1	1	1	1	1	1	1	4	1
glass balustrades nunawading		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glass pool fencing box hill		10	13	8	5	6	5	4	7	11	12	16	16	13	11	7	7	7	7	7	7	9	9	11	8	7	7	7	3	11	5	9	7	8	5	5
glass pool fencing doreen		5	4	3	3	3	4	4	5	5	5	7	7	6	4	3	3	5	5	5	5	4	7	7	6	7	9	5	4	4	6	6	6	5	5	4
glass pool fencing forest hill		1	1	4	3	3	3	2	4	6	8	8	9	5	3	2	3	3	3	1	1	1	1	1	2	2	2	1	1	1	1	2	2	-	2	2
glass pool fencing viewbank		3	3	2	2	2	-	-	3	-	2	2	2	2	-	-	2	3	3	2	1	1	2	1	1	1	1	1	1	1	1	3	3	3	3	2
stainless steel handrails blackburn		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
stainless steel handrails box hill		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
stainless steel handrails bulleen		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
stainless steel handrails burwood		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
stainless steel handrails diamond creek		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
handrails doncaster		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
stainless steel handrails donvale		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
stainless steel handrails doreen		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
stainless steel handrails ivanhoe		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
stainless steel handrails mitcham		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
stainless steel handrails montmorency		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
stainless steel handrails rosanna		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
stainless steel handrails vermont		1	1	1	1	1	1	1	1	8	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
stainless steel handrails viewbank		1	1	1	1	1	-	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
stainless steel handrails watsonia		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	31	31	31
