		2023-05-18	2023-06-15	2023-07-20	2023-08-17	2023-09-14	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
glass pool fencing bexley		-	-	2	2	2	1	2	3	3	2	2	1	1	1	1	4	4	4	2
glass pool fencing engadine		-	-	5	5	8	14	3	3	2	1	1	1	1	1	3	1	1	1	2
glass pool fencing hurstville		15	13	3	2	3	4	5	5	1	1	1	2	2	2	2	2	2	3	2
glass pool fencing ingleburn		-	-	6	6	6	8	4	6	6	5	4	3	4	4	4	7	4	5	5
glass pool fencing kirrawee		2	2	2	2	2	3	3	3	4	3	3	3	2	3	3	6	8	6	7
glass pool fencing kogarah		-	-	6	6	6	7	2	3	1	2	2	3	1	3	2	2	3	4	3
glass pool fencing liverpool		9	9	7	8	6	10	14	17	9	9	8	6	6	7	4	5	7	9	8
glass pool fencing maroubra		-	-	9	5	7	3	5	5	6	4	3	2	2	2	2	4	4	5	5
glass pool fencing marrickville		-	17	3	3	3	3	3	3	4	2	4	3	3	5	3	4	7	7	8
glass pool fencing menai		-	-	6	8	8	9	2	4	4	2	2	2	1	1	1	1	2	2	2
glass pool fencing mittagong		-	-	10	-	-	11	2	3	3	2	1	1	2	2	1	2	3	2	2
glass pool fencing moorebank		1	1	2	1	1	1	2	2	2	2	2	2	1	2	2	2	3	2	2
glass pool fencing narellan		9	6	5	5	5	7	9	7	6	6	6	6	5	4	5	11	8	5	5
glass pool fencing revesby		6	6	4	5	6	7	6	8	7	7	6	7	7	-	8	7	7	5	6
glass pool fencing rockdale		4	3	5	6	4	3	1	1	2	1	1	2	1	1	1	1	2	1	2
