		2021-11-18	2021-12-12	2021-12-20	2022-01-20	2022-02-17	2022-03-02	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-12	2023-08-17	2023-09-06	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-14	2024-03-27	2024-04-19	2024-05-16	2024-06-13	2024-06-28	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
Hot Water Repairs Malvern		9	7	5	4	6	5	5	3	2	3	2	1	1	1	1	1	1	1	2	2	1	1	2	3	4	1	1	3	3	3	3	4	6	7	4	4	1	1	3	34	8
Hot Water Repairs Mount Waverley		7	5	6	2	2	1	1	1	1	1	1	1	2	2	2	2	1	2	3	3	1	2	3	4	2	1	2	1	4	4	4	3	1	6	1	1	2	5	2	4	1
Hot Water Repairs Nunawading		7	9	5	4	4	5	3	2	2	3	5	5	4	3	4	4	4	4	4	3	3	3	4	4	5	5	5	8	7	7	6	7	6	6	4	4	3	4	4	6	4
Hot Water Repairs Rowville		5	6	5	4	5	4	4	2	1	2	3	7	4	4	4	4	4	4	4	4	1	1	3	1	3	2	1	2	1	2	2	1	1	2	2	2	1	1	1	2	2
Hot Water Repairs Wantirna		4	4	4	2	3	2	2	1	2	2	2	2	2	2	2	2	1	1	2	2	3	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2	1
Hot Water Repairs Wheelers Hill		9	9	5	4	4	4	4	3	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	4	4	4	3	3	2	2
plumber armadale		-	-	-	25	15	8	8	10	10	11	9	16	13	23	12	9	6	8	8	6	6	6	7	4	23	7	8	8	10	8	8	7	8	9	10	9	6	8	7	38	4
plumber brighton		-	-	-	97	84	14	13	14	17	15	14	15	15	15	22	16	17	15	18	40	13	12	12	9	14	7	7	6	9	9	7	10	11	11	10	12	12	8	10	18	14
plumber canterbury		-	-	-	69	71	6	8	57	15	6	19	19	20	8	12	7	9	10	11	18	12	9	11	11	13	8	7	9	10	9	9	11	8	12	9	7	5	11	5	6	3
plumber carrum downs		-	-	-	18	19	15	15	12	12	13	13	12	12	10	10	10	8	7	8	5	4	3	3	4	5	4	4	3	3	3	2	2	2	2	1	1	1	1	1	2	1
plumber caulfield		-	-	-	68	65	15	15	21	19	20	18	17	19	22	28	19	16	12	26	32	8	7	6	9	12	7	5	5	6	4	3	2	2	2	2	2	2	1	1	1	1
plumber chadstone		-	-	-	13	12	11	10	11	12	8	7	6	7	6	2	3	4	6	7	7	7	8	7	8	8	6	7	7	5	7	4	4	4	4	4	5	5	6	8	5	5
plumber chelsea		-	-	-	13	14	10	10	10	11	12	8	10	10	10	12	9	14	12	11	13	11	13	16	19	19	18	21	9	16	14	10	11	13	12	13	9	9	8	5	18	11
plumber cheltenham		-	-	-	17	12	7	6	7	7	7	7	7	8	7	6	5	5	5	5	4	4	4	4	3	3	1	1	1	2	2	2	2	2	2	2	2	2	2	2	84	6
plumber croydon		-	-	-	66	71	12	16	13	11	8	8	6	6	6	3	4	3	3	2	3	3	3	3	2	3	2	2	2	2	2	2	2	2	3	2	3	3	2	2	87	3
plumber dandenong		-	-	-	76	67	15	16	19	15	14	14	11	10	7	8	7	7	7	7	6	4	3	4	3	4	3	3	3	3	2	2	2	2	3	1	1	1	1	2	3	4
plumber elsternwick		-	-	-	40	18	13	13	15	16	17	15	14	8	8	6	7	4	5	6	5	4	6	6	7	4	4	3	2	2	2	2	2	2	2	2	2	2	4	3	4	3
plumber elwood		-	-	-	34	30	18	18	18	20	18	20	20	19	16	18	15	10	8	13	13	11	8	9	11	9	7	3	2	3	1	3	3	4	4	3	3	3	3	2	3	4
plumber ferntree gully		-	-	-	77	89	9	15	14	14	13	14	15	17	16	15	13	14	14	16	15	14	15	18	11	16	10	8	12	7	7	7	10	4	3	3	2	2	3	2	2	3
plumber frankston		-	-	-	49	57	18	18	9	11	9	9	7	2	6	4	5	4	3	4	4	3	3	3	3	4	1	1	1	2	2	2	2	2	2	2	2	2	2	3	3	3
plumber glen iris		-	-	-	19	23	15	14	13	16	17	16	15	12	12	10	10	7	9	11	9	7	4	7	4	2	2	2	2	2	3	1	2	2	2	2	2	1	1	1	2	2
plumber hawthorn		-	-	-	24	29	18	18	19	25	20	22	24	23	31	16	19	15	15	17	18	14	16	11	10	15	14	13	15	20	7	7	8	10	6	5	5	4	3	3	3	5
plumber keysborough		-	-	-	15	18	11	11	12	14	14	9	8	9	8	7	6	5	5	5	3	2	2	3	3	1	1	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2
plumber mitcham		-	-	-	16	18	12	12	10	12	12	11	13	13	13	9	14	12	12	18	19	14	8	8	7	8	6	4	5	5	3	3	4	4	4	2	2	5	6	4	8	6
plumber oakleigh		-	-	-	19	16	12	11	11	13	13	13	12	11	13	16	12	13	13	14	13	13	16	16	15	15	11	11	13	13	9	9	11	10	7	2	2	4	3	2	6	4
plumber prahran		-	-	-	43	40	15	15	13	12	10	10	10	9	9	11	11	10	11	15	11	8	6	7	4	4	2	2	3	2	2	2	2	2	2	2	2	2	2	3	3	2
plumber sandringham		-	-	-	15	19	15	15	15	15	15	13	14	17	19	20	19	10	9	10	13	9	9	10	9	9	5	6	6	7	8	6	6	7	5	5	5	4	4	5	5	7
plumber seaford		-	-	-	18	17	14	14	14	15	14	17	16	14	18	19	15	10	7	12	10	17	13	15	12	13	10	9	9	3	3	3	4	3	5	3	3	2	2	1	3	2
plumber south yarra		-	-	-	20	20	15	13	14	19	19	14	21	23	22	20	22	16	16	18	18	17	15	19	-	24	13	12	11	11	12	11	11	11	11	9	11	11	12	13	16	18
plumber st kilda		-	-	-	30	30	19	19	14	15	15	13	12	13	13	12	12	12	13	23	13	18	20	24	22	21	22	16	13	12	14	13	11	15	9	9	10	10	11	11	12	13
plumber toorak		-	-	-	18	17	11	11	12	14	14	11	13	17	22	18	14	17	12	16	17	8	16	17	18	17	15	13	13	10	9	7	6	4	5	5	5	5	6	9	13	10
blocked drains armadale		-	-	-	21	19	7	5	1	2	4	3	5	3	5	1	1	1	3	1	3	2	2	1	1	2	1	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1
blocked drains brighton		-	-	-	9	12	6	6	3	3	4	4	3	3	3	3	2	3	4	5	4	4	3	3	3	4	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1
blocked drains canterbury		-	-	-	2	1	2	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1
blocked drains carrum downs		-	-	-	16	8	7	7	5	3	3	3	4	1	2	2	2	1	1	3	4	1	1	2	2	1	1	2	1	1	2	2	2	2	2	2	2	1	2	2	7	2
blocked drains caulfield		-	-	-	24	28	6	6	9	7	9	8	9	10	6	6	7	5	5	5	5	1	2	3	2	1	1	1	1	2	1	1	1	2	2	4	4	4	3	3	4	4
blocked drains chadstone		-	-	-	15	6	4	4	2	2	2	2	3	2	2	2	2	2	1	2	2	1	1	1	1	1	1	2	2	1	2	1	2	1	2	1	1	1	1	1	2	1
blocked drains chelsea		-	-	-	7	4	3	3	2	3	3	2	1	3	1	1	1	1	1	3	2	1	2	1	1	2	1	1	1	1	1	1	1	1	3	1	1	1	2	1	17	1
blocked drains cheltenham		-	-	-	23	21	12	13	5	4	7	10	5	6	5	22	5	2	2	2	2	2	2	2	3	1	1	1	2	2	2	2	2	2	2	2	3	2	1	1	22	1
blocked drains croydon		-	-	-	35	29	6	6	6	5	4	2	2	2	3	5	5	2	2	4	9	3	3	4	5	6	5	5	6	7	6	5	5	7	6	4	5	4	4	4	24	4
blocked drains dandenong		-	-	-	33	37	7	8	6	6	5	7	6	7	7	6	7	2	2	2	2	1	2	1	3	2	2	2	2	2	2	2	2	2	3	2	2	1	2	2	6	5
blocked drains elsternwick		-	-	-	18	15	3	3	3	2	2	2	3	2	2	3	3	2	2	2	3	3	2	2	4	1	1	6	5	1	1	2	3	3	3	1	2	2	2	1	1	3
blocked drains elwood		-	-	-	27	6	4	5	3	2	2	2	3	4	3	2	2	2	2	4	5	5	5	4	1	5	1	1	6	7	7	5	2	2	2	1	1	1	2	2	2	2
blocked drains ferntree gully		-	-	-	8	41	4	4	4	4	4	4	4	4	3	3	3	2	2	2	2	2	1	1	1	2	1	1	4	3	3	3	4	4	4	3	2	2	3	1	2	1
blocked drains frankston		-	-	-	14	16	12	6	6	6	6	6	6	6	6	6	5	4	4	4	3	3	3	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	4	2
blocked drains glen iris		-	-	32	8	8	5	2	2	1	2	2	1	1	1	1	1	1	1	2	2	3	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	5
blocked drains hawthorn		-	-	-	22	24	7	8	9	9	9	10	8	6	7	7	4	5	2	3	4	3	3	3	3	5	3	3	3	3	2	4	4	4	4	4	3	3	6	4	26	3
blocked drains keysborough		-	-	67	6	5	4	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blocked drains mitcham		-	-	-	3	8	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blocked drains oakleigh		-	-	89	20	11	18	6	5	4	4	5	5	4	4	2	2	3	3	3	5	4	3	4	7	7	7	8	8	8	7	7	6	4	4	2	2	2	2	2	3	2
blocked drains prahran		-	-	-	21	21	2	3	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	1	1	1	2	2	2	3	4	6	6	4	3	2	2	2	3	3
blocked drains sandringham		-	-	-	5	7	5	5	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	3	1	2	2	2	2	2	2	2	2	2	1	2	3	2	2	3	2
blocked drains seaford		-	-	-	6	6	6	6	6	5	4	4	3	6	4	4	3	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	27	2
blocked drains south yarra		-	-	-	8	7	6	5	3	2	1	1	2	4	4	4	2	1	1	2	3	1	1	2	2	2	3	3	2	2	4	2	4	3	2	2	1	2	2	1	2	2
blocked drains st kilda		-	-	99	33	25	6	5	3	3	3	4	3	3	3	3	2	2	2	2	2	2	2	1	4	2	1	1	1	2	3	1	1	1	1	1	1	1	1	1	3	1
blocked drains toorak		-	-	95	10	10	7	7	3	3	2	1	1	1	1	2	2	3	3	3	2	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	1
hot water armadale		-	-	-	19	15	7	6	1	3	5	3	3	5	6	6	5	5	5	8	8	6	7	6	7	10	8	6	7	6	8	7	4	2	3	3	3	1	1	1	2	1
