		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-09-18	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
landscaping newport		35	38	37	28	29	23	23	-	17	14	15	17	18	15	14	14	14	14	12	17	-	20	8	8	8	9	10	11	8	4	4	6	7	1	-	1
decking newport		23	38	34	18	17	25	17	17	5	4	9	6	9	7	8	8	5	5	11	8	7	7	5	8	12	7	5	8	25	7	5	5	56	8	7	8
landscaping beacon hill		-	-	96	-	-	-	58	79	78	9	13	11	10	14	10	10	10	12	11	10	15	15	11	14	10	13	13	15	12	11	13	14	13	13	11	12
landscaping belrose		40	37	32	35	29	30	22	24	16	17	19	15	18	16	19	21	19	23	19	25	25	20	19	24	21	27	26	24	21	19	22	25	25	23	22	7
landscaping davidson		-	-	-	17	22	-	-	-	-	-	5	6	6	10	10	8	-	-	-	-	-	7	3	3	2	4	30	-	-	-	3	4	5	2	2	9
landscaping forestville		40	36	33	38	30	18	33	13	11	10	10	11	10	11	10	10	10	11	8	13	-	-	-	75	-	-	-	-	19	-	-	-	-	20	17	19
landscaping palm beach		52	42	48	43	40	31	21	12	14	-	15	15	14	13	12	12	11	16	19	14	-	7	9	8	10	9	11	19	14	20	15	17	5	10	1	1
landscaping roseville		25	44	20	28	17	15	17	15	12	-	14	-	-	-	-	-	-	-	8	-	8	14	-	14	16	-	-	32	25	20	20	22	13	4	3	2
landscaping seaforth		-	22	20	15	15	14	17	14	15	15	16	17	44	40	-	49	50	13	12	12	14	20	11	34	14	15	12	14	15	14	11	-	29	8	5	9
garden maintenance avalon		-	32	33	39	33	23	18	22	16	16	21	15	18	18	19	11	13	21	27	29	26	22	22	11	14	11	14	13	12	12	12	7	7	5	5	30
garden maintenance clontarf		33	-	-	-	26	30	26	31	14	15	11	13	16	15	12	9	10	13	20	7	21	26	26	9	9	14	13	12	13	11	7	11	9	6	7	7
garden maintenance fairlight		-	-	-	-	19	16	12	21	16	15	17	14	13	11	12	14	13	14	11	13	17	14	11	13	13	15	17	18	16	15	17	16	14	9	10	10
