		2021-11-18	2021-12-16	2022-01-20	2022-02-16	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-16	2023-08-22	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-09	2024-10-18	2024-11-14
trailer repairs chirnside park		4	4	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	1	1	2	1	1	7	5	1	4	2	3	5	5	5	4	4	3	3	3	3
4wd service croydon		9	13	7	5	5	4	4	3	4	3	3	3	3	4	5	8	7	4	4	5	4	5	6	9	8	9	12	9	15	15	16	12	20	17	15	19	17	15	18
trailer repairs croydon		15	16	22	19	15	17	13	14	18	12	10	19	13	8	8	9	14	26	18	10	16	10	9	8	9	14	11	15	11	12	13	16	12	12	8	8	10	9	9
brake repair croydon		23	14	16	11	12	7	9	8	9	11	28	10	6	7	7	6	7	8	11	11	10	12	12	13	15	15	14	13	11	12	16	18	14	15	14	20	14	14	20
4wd service montrose		16	36	25	5	6	5	2	22	16	8	4	1	1	1	5	1	1	2	2	4	7	2	3	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
trailer repairs montrose		23	9	2	3	3	2	5	3	3	6	7	9	7	4	4	7	4	5	5	4	6	5	6	8	5	5	5	5	5	5	5	5	5	4	4	4	4	4	4
trailer repairs mooroolbark		3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2	1	1	1	1	1	1	1	2	1	1	1
car repair mooroolbark		9	9	7	6	6	6	6	5	7	3	3	4	4	4	5	5	5	3	3	3	3	3	3	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1
car service mooroolbark		7	8	6	4	4	4	4	6	7	6	5	6	7	7	8	7	7	6	6	7	3	2	3	3	4	3	2	1	1	1	1	1	1	1	1	1	1	1	1
mechanic mooroolbark		6	8	7	7	7	7	6	6	6	3	3	3	6	7	6	7	4	2	4	4	3	3	3	2	3	2	2	2	3	2	2	1	1	2	1	1	1	1	1
transmission service mooroolbark		4	4	4	3	4	3	4	3	4	4	4	4	5	5	5	5	5	4	3	3	3	2	3	3	3	2	2	2	2	2	2	2	2	2	1	2	2	2	3
4wd service mount evelyn		3	3	2	2	2	1	2	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
trailer repairs mount evelyn		2	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
car service mount evelyn		1	1	5	3	2	2	3	2	2	4	4	4	4	4	6	4	3	2	2	3	3	3	3	3	3	3	2	2	2	2	2	2	2	1	1	2	2	2	2
mechanic mount evelyn		10	10	7	7	7	5	4	2	2	1	1	4	6	6	6	6	6	5	5	5	6	6	5	5	7	7	6	8	5	5	4	5	6	4	5	3	3	3	3
mechanic healesville		-	-	-	-	66	59	5	6	4	4	5	3	3	4	3	4	4	4	3	2	3	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3
mechanic yarra glen		-	-	-	-	6	4	4	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3
mechanic wandin		-	-	-	-	-	4	4	2	2	3	2	3	3	3	3	2	3	3	2	3	2	4	4	4	5	4	4	3	2	3	3	3	4	3	3	3	3	3	3
4wd service healesville		-	-	-	-	52	2	2	1	1	1	2	2	3	2	2	2	2	2	4	5	3	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	3
4wd service yarra glen		-	-	-	-	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	2	2	1
4wd service wandin		-	-	-	-	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
trailer repairs healesville		-	-	-	-	6	2	3	2	2	3	2	3	2	3	3	3	3	3	1	3	3	3	3	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
trailer repairs yarra glen		-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
trailer repairs wandin		-	-	-	-	2	1	1	1	1	2	2	2	2	2	1	1	2	1	1	1	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	1	1	1
car service healesville		-	-	-	-	82	73	5	4	3	3	3	3	4	4	5	5	5	4	5	4	3	3	2	2	1	1	1	1	1	1	2	1	1	1	1	4	3	7	10
car service yarra glen		-	-	-	-	2	2	3	2	2	3	4	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2
car service wandin		-	-	-	-	35	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
car repairs healesville		-	-	-	-	-	84	6	4	3	4	3	1	2	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	4	6
car repairs yarra glen		-	-	-	-	5	3	5	4	4	3	4	4	3	4	3	3	3	3	3	3	4	4	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
car repairs wandin		-	-	-	-	29	2	4	2	2	2	2	2	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	2	2	1	2	1	1	1	2	2	1	2
roadworthy certificate chirnside park		1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	3	3	2	2	2	2	1	1	1	2	1	1	1	1	1
roadworthy certificate croydon		15	17	16	13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	7	7	7	6	6	5	7	9	9	8	9	32	11	12	12
roadworthy certificate montrose		2	4	3	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	3	3	2	3	2	2	3	3	3	2	2	4	4
roadworthy certificate mooroolbark		2	2	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	2	1	2	3	3	3	4	3	4	2	2	3	2	2
roadworthy certificate mount evelyn		3	3	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	1	1	1	2	2	1	2	2	2	2	2	2	2	2
