		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-06	2022-12-14	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-16	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-17	2024-08-16	2024-09-20	2024-10-18	2024-11-14
myopia control windang		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
myopia control wollongong		-	-	-	-	-	-	-	-	-	-	-	-	5	5	4	-	5	6	7	5	5	4	5	3	4	4	4	4	6	2	2	2	2	1	2	1
optometrist Farmborough Heights		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	4	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1
optometrist primbee		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	2	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
optometrist specialist shellharbour		-	-	-	-	-	-	-	-	-	-	-	-	4	4	4	5	4	5	3	4	3	4	7	5	5	6	5	2	2	3	4	3	4	2	2	6
optometrist specialist warrawong		-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
optometrist specialist wollongong		-	-	-	-	-	-	-	-	-	-	-	-	12	6	12	15	12	11	10	8	10	9	11	7	8	7	8	11	9	10	7	10	6	6	6	8
optometrist windang		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	5	1	1	1	1	1	1	1	2	3	2	2	1	2	1	1	1
prescription sunglasses Farmborough Heights		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2	1	1	1	3	3	1	1	1	-	2	3	1	3	3	3	2
prescription sunglasses figtree		-	-	-	-	-	-	-	-	-	-	-	-	1	3	2	3	3	3	3	6	9	6	11	7	7	5	3	4	4	4	7	8	4	4	2	5
prescription sunglasses primbee		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	1	1	1	1	1	2	1	1	4	1	1	3	1	2	2	2
prescription sunglasses shell cove		-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	2	3	2	3	3	2	4	2	3	2	3	2	1	2	2	2
prescription sunglasses shellharbour		-	-	-	-	-	-	-	-	-	-	-	-	11	11	9	12	16	13	13	14	16	24	14	14	14	15	13	22	23	21	23	31	13	15	14	15
prescription sunglasses unanderra		-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	2	2	3	3	3	1	2	3	3	4	2	3	2	4	1	2	1
prescription sunglasses warilla		-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	3	3	4	4	4	4	6	4	4	4	4	4	2	3	2	3	3	3	3	2	3
prescription sunglasses warrawong		-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	2	2	1	2	2	5	3	4	5	3	2	2	2	3	4	5	6	4	2	4	4
prescription sunglasses windang		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	4	2	1	1	1	1	1	1	1	5	3	2	1	1	1	1	4
prescription sunglasses wollongong		-	-	-	-	-	-	-	-	-	-	-	-	16	16	15	18	17	15	12	15	13	15	13	14	14	12	11	13	16	18	18	24	17	13	22	21
ortho k illawarra		-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ortho k keiraville		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ortho k gwynneville		-	-	-	-	-	-	-	-	-	-	-	-	21	-	-	5	7	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ortho k cordeaux heights		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
orthokeratology keiraville		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
orthokeratology gwynneville		-	-	-	-	-	-	-	-	-	-	-	-	7	10	-	-	-	-	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
orthokeratology cordeaux heights		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
myopia control illawarra		-	-	-	-	-	-	-	-	-	-	-	-	6	4	4	5	5	4	4	1	2	2	2	2	2	2	2	2	2	2	2	2	3	1	1	1
myopia control keiraville		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
myopia control gwynneville		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
myopia control cordeaux heights		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	7	1	-	1	1	1	1	1	1	1	1	1	1	1	1
bulk billed eye test dapto		3	5	3	3	3	3	11	3	3	3	3	3	2	2	2	2	3	2	3	3	1	1	1	1	4	4	3	1	1	1	4	3	4	3	2	2
bulk billed eye test figtree		3	2	1	1	2	1	2	2	2	1	1	1	1	1	2	2	2	2	1	2	3	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1
bulk billed eye test shell cove		2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
bulk billed eye test shellharbour		4	4	4	8	4	4	4	4	4	4	4	4	4	5	5	6	6	6	7	6	6	6	6	6	6	6	6	6	5	6	6	6	6	6	7	7
bulk billed eye test unanderra		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
bulk billed eye test warilla		5	2	4	3	2	2	2	2	2	3	3	2	1	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	4	3
bulk billed eye test warrawong		2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2
bulk billed eye test wollongong		7	8	7	6	6	7	5	5	5	5	4	5	4	5	5	4	4	6	6	5	6	5	6	5	4	5	6	5	6	6	8	8	10	8	7	9
children's optometrist dapto		1	3	2	1	1	1	1	1	2	1	1	1	1	2	2	5	4	3	6	5	1	3	1	1	2	2	2	1	2	1	9	2	2	2	1	2
children's optometrist figtree		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	6	5	5	4	5	3	2	2	2	2	2	2	3	2	2	2	2	2	2
children's optometrist shell cove		3	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
children's optometrist shellharbour		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
children's optometrist unanderra		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
children's optometrist warrawong		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
children's optometrist wollongong		7	7	3	3	4	4	4	3	4	5	5	6	3	3	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	3	4	4	2	3	2
eye test figtree		13	6	6	5	4	3	3	4	4	4	3	3	3	5	6	5	6	8	6	6	6	7	6	5	5	5	5	4	4	3	2	2	2	2	2	2
eye test shell cove		2	2	4	2	1	2	2	2	2	2	2	2	1	2	2	5	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
eye test shellharbour		5	4	6	4	4	4	4	4	4	5	5	4	5	7	6	7	7	8	8	9	8	8	8	8	8	8	7	6	6	6	6	6	7	7	9	9
eye test unanderra		2	2	1	1	1	1	1	2	2	2	2	1	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
eye test wollongong		8	7	7	9	7	9	7	9	9	10	9	9	8	10	10	10	10	10	9	9	11	11	9	11	12	9	9	10	10	10	7	7	9	8	9	9
kids eye test dapto		4	5	6	5	4	3	3	3	4	4	3	3	3	4	4	7	3	3	5	4	3	3	3	2	3	3	3	3	2	2	2	2	3	2	2	2
kids eye test shell cove		2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kids eye test unanderra		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kids eye test warrawong		1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kids eye test wollongong		9	8	3	4	4	6	5	6	6	6	6	7	6	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	6	5	1	2
optometrist dapto		10	9	9	6	7	7	7	8	7	8	6	9	9	7	7	8	8	7	8	7	8	8	7	8	10	10	10	8	11	12	9	8	9	6	5	6
optometrist figtree		11	10	9	7	4	5	5	6	7	4	5	7	7	9	8	10	10	10	10	8	8	9	12	11	8	8	8	11	7	8	8	7	8	8	13	11
optometrist shell cove		6	2	4	5	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
optometrist shellharbour		5	4	6	6	6	5	5	6	6	6	6	6	7	9	8	11	10	12	11	10	11	10	11	9	9	9	9	8	7	7	8	8	11	9	8	11
optometrist unanderra		6	7	5	5	4	3	3	3	3	3	2	2	3	2	3	3	3	2	2	3	3	2	3	3	4	3	3	3	4	3	3	3	4	3	5	5
optometrist warilla		6	5	5	5	3	5	3	4	4	4	3	2	2	2	2	2	2	2	2	2	3	2	1	3	3	2	2	2	3	3	3	2	3	3	2	3
optometrist warrawong		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
optometrist wollongong		10	11	12	14	11	13	13	14	16	12	14	14	13	10	10	14	14	13	11	12	17	16	15	13	13	12	11	12	13	16	23	25	14	13	13	14
ortho k wollongong		2	2	2	2	2	1	2	3	3	3	3	3	3	2	2	2	2	2	2	2	1	1	1	1	2	2	2	2	2	2	1	2	1	1	1	1
orthokeratology illawarra		1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
orthokeratology wollongong		2	3	2	2	2	2	3	3	3	3	3	3	2	2	2	2	2	2	2	2	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1
