		2021-11-25	2021-12-16	2022-01-20	2022-02-17	2022-03-07	2022-04-22	2022-05-04	2022-05-19	2022-06-15	2022-07-15	2022-08-10	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2024-02-13	2024-03-15	2024-04-19	2024-05-21	2024-06-13	2024-07-18	2024-08-16	2024-09-11	2024-10-18	2024-11-14
rubbish removal bondi junction		8	9	7	10	8	8	8	10	9	10	8	6	7	6	8	6	5	7	6	7	5	7	8	9	6	6	6	8	5	6
rubbish removal caringbah		-	11	9	7	7	5	5	4	5	5	3	4	5	4	3	4	4	4	5	5	5	5	7	8	8	6	5	5	6	8
rubbish removal chatswood		10	9	6	6	6	7	7	8	9	10	10	11	10	12	11	-	9	12	12	11	11	7	6	7	6	8	8	7	9	9
rubbish removal concord		-	11	10	8	8	10	10	7	8	6	2	2	2	2	3	5	5	5	5	3	7	10	14	22	18	15	18	19	16	14
rubbish removal coogee		-	12	10	9	7	9	9	7	3	4	8	8	5	4	4	5	5	5	3	5	5	4	5	7	6	4	8	8	9	5
rubbish removal cronulla		-	8	9	10	8	10	10	9	13	8	8	7	8	7	10	9	9	9	8	9	7	6	7	7	8	8	9	12	10	12
rubbish removal drummoyne		-	14	13	11	9	7	7	7	6	6	7	4	5	6	5	8	7	7	14	10	6	5	5	7	9	10	6	9	11	9
rubbish removal eastern suburbs		6	5	5	7	7	6	6	7	7	7	7	8	7	6	8	8	8	7	12	8	2	2	2	5	3	3	7	7	7	12
rubbish removal gladesville		-	6	8	6	5	6	8	6	7	5	6	7	5	6	6	8	8	11	9	11	5	4	5	5	5	5	5	4	6	6
rubbish removal hurstville		-	13	10	8	9	7	7	6	7	5	6	6	6	9	13	13	13	13	12	12	8	6	8	13	17	16	16	11	16	10
rubbish removal inner west		33	26	21	18	19	21	21	18	19	24	23	21	21	20	27	27	26	26	25	22	37	35	35	33	40	44	49	36	34	40
rubbish removal kogarah		-	7	9	7	5	6	6	5	6	5	5	5	6	7	6	7	5	8	7	7	4	4	5	1	8	8	10	12	9	9
rubbish removal maroubra		49	10	9	6	4	5	6	6	6	6	6	6	6	6	4	5	5	7	6	7	1	4	4	4	5	4	3	1	3	1
rubbish removal merrylands		41	12	2	2	2	4	4	3	3	3	3	2	2	1	1	1	1	1	1	1	1	2	2	4	5	3	3	4	5	4
rubbish removal miranda		57	18	16	12	12	11	12	11	11	10	12	11	10	8	7	14	12	11	11	14	6	1	8	10	11	10	18	18	17	14
rubbish removal north shore		21	18	18	20	19	21	20	25	20	23	28	27	23	24	19	20	17	20	23	22	22	36	34	39	28	29	28	32	28	39
rubbish removal north sydney		9	11	8	19	18	18	11	20	19	17	19	25	17	15	16	15	16	22	20	22	20	30	32	33	33	22	16	38	31	43
rubbish removal northern suburbs		-	2	1	1	1	1	2	5	6	7	9	8	10	10	4	6	7	3	3	7	1	2	3	2	2	3	2	2	4	9
rubbish removal parramatta		83	13	13	10	10	10	10	10	11	10	10	12	11	12	12	13	14	13	19	24	15	14	15	19	31	23	19	21	7	6
rubbish removal randwick		64	16	13	12	10	11	9	10	15	13	16	14	13	15	14	15	14	15	15	15	10	9	9	16	18	18	45	20	16	11
rubbish removal strathfield		69	11	13	7	7	9	8	7	8	8	8	8	7	8	8	8	7	8	8	8	5	5	5	8	9	6	6	7	5	4
rubbish removal sutherland shire		15	12	14	12	11	10	12	13	12	11	10	12	11	12	13	11	9	8	9	9	8	9	9	14	15	14	11	22	27	25
rubbish removal western sydney		5	4	5	8	8	9	9	8	9	10	7	8	7	6	6	9	9	12	12	9	15	13	16	25	18	18	26	21	21	20
garden waste removal Pennant Hills		-	5	4	4	4	4	4	4	4	4	4	4	4	2	2	1	1	4	1	1	1	1	1	1	1	1	1	1	2	1
garden waste removal baulkham hills		-	7	7	7	7	7	6	5	5	5	5	4	4	4	6	4	7	7	1	1	1	1	1	1	3	3	1	5	1	4
garden waste removal bondi junction		15	7	5	7	6	6	6	6	10	7	7	7	1	2	2	2	2	2	1	1	1	1	1	1	1	1	2	1	1	1
garden waste removal caringbah		-	7	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1
garden waste removal chatswood		16	7	3	3	3	4	3	2	6	6	6	6	6	6	8	8	9	9	10	11	4	3	1	1	6	7	1	1	1	1
garden waste removal concord		-	1	4	3	2	3	2	1	1	2	2	1	1	1	1	2	1	1	1	1	4	5	9	16	1	14	12	13	10	9
garden waste removal coogee		-	4	4	3	3	3	2	2	2	2	5	3	2	1	1	3	2	1	1	1	1	1	1	2	1	2	2	3	1	2
garden waste removal cronulla		-	5	4	4	3	2	4	4	5	3	4	3	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1
garden waste removal drummoyne		-	5	3	3	1	1	1	1	1	1	1	1	1	1	1	1	2	2	4	4	1	1	2	1	1	1	1	2	1	18
garden waste removal eastern suburbs		13	10	5	5	3	3	3	3	2	4	4	5	5	4	4	4	5	5	6	5	1	1	1	1	1	2	5	2	2	3
garden waste removal gladesville		-	4	4	5	2	3	3	4	3	3	4	3	1	1	4	5	1	6	1	1	1	1	1	1	1	4	1	1	1	1
garden waste removal hurstville		-	7	1	6	4	3	2	2	2	2	1	2	2	1	6	1	3	1	1	1	1	1	2	1	1	1	1	1	1	32
garden waste removal inner west		34	24	9	12	11	13	14	13	14	16	15	15	13	15	24	17	15	12	11	15	22	12	12	15	20	17	23	11	9	11
garden waste removal kogarah		-	3	3	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
garden waste removal maroubra		-	5	4	3	3	2	1	2	3	2	2	3	3	3	2	4	5	5	6	1	1	1	1	1	1	1	1	1	1	1
garden waste removal merrylands		-	7	1	1	1	2	3	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	1	1	1
garden waste removal miranda		-	20	5	5	4	2	2	3	5	3	3	3	3	1	1	3	3	1	1	1	1	1	1	1	2	1	1	1	17	1
garden waste removal north shore		33	7	9	10	10	11	10	28	7	40	36	30	39	37	11	27	29	17	16	50	4	5	6	19	8	23	18	18	17	12
garden waste removal north sydney		18	6	6	9	8	10	12	13	12	10	15	15	13	13	12	16	14	19	21	17	14	33	19	22	27	16	19	28	25	28
garden waste removal northern suburbs		-	2	1	1	1	2	1	8	7	10	12	12	13	12	1	12	9	6	1	11	1	1	1	1	1	1	1	1	-	1
garden waste removal parramatta		-	16	14	14	5	6	4	5	4	3	3	4	6	6	8	8	9	8	13	12	10	9	10	18	21	15	20	12	11	9
garden waste removal randwick		-	11	10	11	11	10	10	8	12	9	8	7	8	7	10	9	12	12	12	12	1	5	9	7	7	7	12	14	14	8
garden waste removal strathfield		-	9	11	4	4	2	1	1	2	3	4	3	2	2	3	8	7	5	8	1	1	1	1	6	1	1	1	7	1	30
garden waste removal sutherland shire		21	16	10	9	9	6	6	5	5	5	5	4	4	3	4	4	3	8	5	4	1	4	1	1	1	1	1	6	10	10
garden waste removal western sydney		17	14	2	2	3	5	6	7	7	7	4	3	2	4	2	7	5	6	3	5	7	6	4	7	1	6	10	7	39	20
deceased estate clearance baulkham hills		-	-	-	-	-	-	-	-	-	-	-	3	2	2	2	2	3	2	3	3	1	1	1	1	1	1	5	5	1	1
deceased estate clearance chatswood		-	-	-	-	-	-	-	-	-	-	-	3	3	3	4	9	7	6	10	10	1	1	1	9	9	1	9	8	10	11
deceased estate clearance concord		-	-	-	-	-	-	-	-	-	-	-	1	3	1	2	2	1	1	1	2	1	1	1	1	5	1	1	1	1	1
deceased estate clearance coogee		-	-	-	-	-	-	-	-	-	-	-	1	2	2	2	3	3	4	4	4	1	3	3	4	2	3	1	2	1	1
deceased estate clearance cronulla		-	-	-	-	-	-	-	-	-	-	-	3	3	2	3	4	3	5	2	5	3	2	1	1	3	4	7	6	6	5
deceased estate clearance drummoyne		-	-	-	-	-	-	-	-	-	-	-	2	2	3	3	3	3	3	5	5	1	1	4	3	5	4	4	6	-	5
deceased estate clearance gladesville		-	-	-	-	-	-	-	-	-	-	-	2	2	2	3	4	3	5	5	5	1	4	1	1	1	1	1	1	1	-
deceased estate clearance hurstville		-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	2	1	3	3	3	3	3	3	3	5	2	5	-	4	5
deceased estate clearance kogarah		-	-	-	-	-	-	-	-	-	-	-	3	3	3	4	4	4	3	5	5	3	2	4	6	7	6	6	7	8	6
deceased estate clearance maroubra		-	-	-	-	-	-	-	-	-	-	-	3	4	4	5	5	5	5	7	3	1	1	1	5	3	1	3	3	3	1
deceased estate clearance merrylands		-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	2	1	4	1	1	1	1	1	1	1	1	1	44
deceased estate clearance miranda		-	-	-	-	-	-	-	-	-	-	-	2	2	2	2	3	3	3	5	4	1	1	1	1	1	1	1	1	1	-
deceased estate clearance parramatta		-	-	-	-	-	-	-	-	-	-	-	7	8	8	7	9	11	11	10	9	7	1	6	1	1	1	14	13	11	1
deceased estate clearance randwick		-	-	-	-	-	-	-	-	-	-	-	6	4	3	6	7	8	7	9	9	1	5	10	10	11	9	8	7	6	7
deceased estate clearance strathfield		-	-	-	-	-	-	-	-	-	-	-	8	9	1	1	3	3	6	5	7	1	1	1	1	10	1	1	1	1	1
