		2021-11-18	2021-12-13	2021-12-21	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-08-31	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-04-23	2024-05-13	2024-05-17	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-13
ducted air conditioning		79	-	-	97	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	64	47	45	38	21	46	47	55	-	48	18	20	19	22	18	13	-	-	-	-	-
ducted air conditioning installation		56	6	72	80	12	10	16	-	57	56	4	8	14	39	80	60	70	65	65	70	75	42	43	41	22	36	37	50	54	53	47	51	51	48	50	45	62	53	77	49	42
ducted air conditioning installation melbourne		10	12	18	11	10	9	15	11	13	11	17	20	18	16	15	8	12	14	10	10	18	14	16	12	12	12	11	11	13	14	14	8	8	7	7	5	5	5	6	6	7
ducted air conditioning melbourne		15	25	14	15	12	9	12	12	8	11	11	10	11	14	10	8	9	6	7	6	9	8	9	10	8	8	9	9	8	7	4	5	5	5	5	4	6	5	5	6	7
ducted cooling melbourne		11	14	10	9	9	9	8	7	5	6	5	6	7	7	4	6	6	6	6	8	8	10	10	9	8	13	20	16	11	13	5	7	7	8	8	3	5	6	5	5	5
ducted evaporative cooling		20	37	37	45	30	44	90	55	65	43	41	50	58	67	61	56	49	28	39	47	45	32	26	18	17	9	12	15	11	19	16	18	18	17	17	28	29	24	32	42	39
ducted gas heating melbourne		4	8	4	3	2	4	5	4	3	5	4	5	5	5	5	4	5	5	4	6	6	4	4	4	4	4	3	3	4	4	5	5	5	7	5	5	6	6	9	8	9
ducted heating		28	30	32	52	51	25	-	-	18	25	-	29	27	52	16	24	23	25	24	23	22	17	21	24	17	19	13	17	15	20	20	12	11	14	14	-	40	39	32	17	16
ducted heating and cooling		42	36	34	42	53	46	37	18	20	21	29	21	38	26	14	23	22	17	14	21	24	23	22	21	19	23	31	37	36	46	41	-	-	28	42	15	30	11	44	2	35
ducted heating and cooling melbourne		21	10	12	10	12	10	10	9	9	9	9	12	14	12	9	9	8	8	10	9	9	16	-	10	14	13	12	13	17	15	9	14	13	13	14	15	17	9	18	13	11
ducted heating installation		3	3	1	2	4	3	3	3	3	4	5	5	6	6	6	9	9	8	9	8	10	10	11	8	7	7	7	8	8	6	10	9	10	8	8	6	11	8	11	12	12
ducted heating installation melbourne		3	3	2	3	4	3	3	3	2	4	4	4	7	7	5	5	4	5	5	5	5	4	4	4	4	4	3	3	3	4	4	5	5	4	4	3	3	4	5	3	3
ducted heating melbourne		4	4	3	4	4	4	4	4	1	4	6	5	6	7	6	8	6	5	7	6	7	7	5	5	4	4	4	4	5	5	5	5	6	6	6	7	7	4	5	4	4
ducted heating repairs melbourne		33	28	43	42	48	48	44	52	60	49	-	-	57	60	46	40	50	-	35	29	-	39	35	36	36	44	41	37	48	45	20	17	16	16	17	15	26	30	35	33	36
ducted heating service		28	32	86	40	30	31	73	-	-	-	-	-	-	-	-	-	39	34	-	35	-	37	29	34	36	32	32	45	51	51	37	32	30	11	12	24	30	35	29	18	21
ducted heating service melbourne		20	15	23	26	26	27	23	-	-	-	-	-	54	54	44	-	50	43	-	40	-	36	33	31	31	35	22	27	31	31	18	12	12	11	12	11	25	30	39	37	35
ducted reverse cycle air conditioning		47	76	17	70	59	21	47	35	70	54	52	47	55	51	52	79	86	63	-	71	-	47	55	48	35	44	45	60	77	59	56	64	69	54	49	57	61	55	85	84	71
evaporative air conditioning melbourne		3	4	3	5	5	5	9	10	5	6	6	6	6	6	4	6	7	5	7	7	7	6	6	4	4	6	8	8	8	6	6	5	5	5	6	6	6	5	11	5	6
evaporative cooler melbourne		5	13	7	10	12	10	11	12	13	7	8	11	10	11	8	9	10	7	7	8	8	9	5	4	5	4	6	6	9	10	12	8	9	8	7	8	12	9	8	9	6
evaporative coolers melbourne		5	5	4	6	11	11	74	36	75	8	8	56	8	18	8	26	10	8	8	9	6	9	4	4	5	6	8	6	6	7	6	6	6	6	7	6	9	8	4	7	6
evaporative cooling		35	78	71	92	-	-	-	70	-	65	-	82	78	64	-	71	-	69	70	72	79	72	62	40	33	51	51	51	58	53	45	54	57	58	59	43	61	54	42	70	45
evaporative cooling installation		5	5	6	9	7	8	11	11	9	12	43	18	16	14	12	17	15	13	16	12	13	12	10	8	7	6	7	10	8	8	7	8	8	6	7	9	8	5	6	8	12
evaporative cooling melbourne		7	10	6	9	12	9	7	9	5	6	7	7	7	9	7	7	8	8	7	9	7	8	7	5	6	6	8	7	7	6	6	8	8	7	6	5	6	6	4	4	5
evaporative cooling service		68	88	78	-	-	-	68	60	56	47	-	54	60	61	59	-	50	-	-	-	-	-	-	40	39	37	45	72	78	89	72	-	35	34	34	30	31	30	33	30	14
evaporative cooling system		33	-	51	-	-	87	-	62	-	75	69	85	86	-	-	82	-	25	71	70	88	74	84	41	40	30	55	37	41	27	29	33	39	36	29	30	65	10	32	77	63
gas ducted heating		19	25	30	49	37	23	43	26	31	53	37	35	62	39	28	47	46	47	47	28	33	25	25	24	14	14	12	13	12	13	16	15	14	19	18	20	62	43	47	77	-
gas ducted heating melbourne		6	6	5	5	9	6	9	7	8	7	6	6	8	8	7	5	8	9	8	7	9	6	5	5	4	4	4	4	4	4	5	5	5	7	7	9	10	9	11	15	17
gas heating melbourne		9	10	6	8	13	8	5	8	7	8	6	7	8	6	4	5	6	6	6	6	8	5	5	4	4	4	4	4	4	4	4	8	9	6	5	4	17	13	12	23	24
heating and cooling		82	80	36	60	60	77	59	22	20	41	-	56	60	14	67	50	37	45	65	55	49	51	44	23	36	31	25	-	85	-	29	27	26	28	24	18	15	23	29	-	36
heating and cooling installation		28	18	23	25	28	49	31	16	19	27	20	21	24	28	22	32	31	32	27	34	30	-	52	22	34	34	25	-	19	21	65	19	22	19	22	26	10	18	24	24	28
heating and cooling melbourne		26	39	50	70	58	57	34	16	19	22	24	28	31	36	45	54	51	27	44	40	54	48	58	59	63	55	71	46	58	47	55	53	54	34	23	38	37	55	65	57	72
heating and cooling repair		-	-	-	-	-	-	52	-	16	13	12	-	-	-	-	-	10	9	10	9	16	54	66	28	66	31	29	16	84	85	27	68	52	67	60	33	32	22	23	14	20
heating and cooling services		36	65	48	56	94	99	38	28	22	13	13	11	24	12	31	21	11	9	21	11	20	41	18	19	19	14	21	23	24	23	25	25	28	27	29	-	27	22	23	23	23
heating and cooling specialists		24	18	19	16	20	22	32	26	14	15	22	18	16	15	16	8	16	18	19	23	21	17	18	12	17	10	14	19	15	14	17	21	20	20	20	13	11	16	19	19	11
heating and cooling systems		56	68	58	59	60	56	94	69	54	52	-	55	64	64	69	85	84	63	62	96	83	93	-	-	49	47	61	85	-	74	-	41	67	29	68	48	-	54	71	55	69
heating system installation		2	2	6	19	7	3	22	16	14	10	4	4	6	6	5	18	9	13	21	14	17	17	20	22	10	12	13	16	57	69	17	17	17	14	17	9	11	13	13	12	14
hydronic floor heating		10	10	10	10	8	13	10	10	10	12	12	12	12	11	19	40	36	21	43	93	47	44	-	66	58	55	47	75	-	-	-	-	-	50	-	44	-	-	-	-	-
hydronic floor heating melbourne		4	4	4	3	3	5	3	3	5	4	4	6	5	7	11	13	13	14	15	8	14	11	20	22	12	11	12	14	12	21	20	12	12	14	14	12	24	15	12	13	13
hydronic heating		49	51	60	86	-	-	-	87	96	77	81	88	85	-	74	73	83	66	67	60	70	84	-	77	-	92	96	-	-	-	-	-	-	-	-	-	-	73	87	90	82
hydronic heating melbourne		16	16	16	21	21	23	19	24	20	15	14	15	18	24	41	40	39	30	27	13	36	25	28	28	29	29	22	28	21	30	23	14	13	14	14	12	28	15	22	22	18
hydronic heating systems melbourne		20	16	22	27	25	23	-	30	29	15	16	21	18	18	18	-	-	24	23	19	37	33	33	38	39	35	21	29	24	33	26	16	16	18	21	15	30	18	19	18	18
hydronic slab heating		19	17	21	15	18	16	22	23	22	19	12	13	13	18	20	68	49	34	40	44	42	51	-	61	65	48	41	58	61	83	72	66	36	35	36	36	-	41	41	45	62
hydronic underfloor heating		17	19	19	16	16	16	16	13	16	16	14	70	69	73	90	-	-	33	34	86	49	70	-	-	-	-	74	-	-	-	-	-	-	44	-	31	-	-	-	-	57
in floor hydronic heating		7	5	7	9	6	9	14	15	15	12	14	15	9	25	37	71	65	30	38	54	75	87	-	-	96	-	-	-	-	-	-	56	85	79	82	60	77	60	73	78	75
in floor hydronic heating system		5	5	8	5	7	7	10	11	10	11	69	20	21	-	60	55	61	26	31	27	49	-	80	82	94	89	74	60	88	85	82	68	77	52	60	79	96	48	62	67	68
melbourne air conditioning		23	35	54	54	59	60	63	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	25	30	14	13	-	-	23	26	36	70	84	65	-	56
melbourne hydronic heating		25	30	34	35	54	37	34	34	33	25	18	16	16	20	32	27	29	21	15	12	23	25	28	39	35	26	18	21	16	22	15	11	11	14	13	9	18	12	16	14	13
multi split air conditioning		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
refrigerated air conditioning		-	-	-	-	-	-	90	-	-	92	-	-	-	-	44	-	-	95	99	-	-	39	42	39	16	45	49	81	85	26	21	-	-	68	78	35	-	-	83	77	44
reverse cycle air conditioner melbourne		13	16	16	17	16	13	11	9	10	10	8	9	10	13	5	7	14	8	10	19	13	14	24	11	9	15	18	19	22	15	11	12	12	13	12	9	9	9	15	21	15
reverse cycle air conditioning		-	-	81	-	-	-	-	-	-	-	-	-	-	-	-	-	90	33	-	-	-	81	75	56	39	58	77	94	-	-	85	-	53	87	73	56	57	46	-	-	94
reverse cycle air conditioning melbourne		9	9	14	13	25	3	2	2	2	3	2	6	6	6	4	4	5	4	6	6	5	9	8	6	4	6	7	8	7	4	1	1	1	1	1	1	1	1	3	2	2
reverse cycle ducted air conditioning		49	46	13	13	15	14	13	12	11	14	47	43	10	11	50	42	53	67	70	33	36	35	27	30	34	27	14	18	55	61	56	81	76	18	14	11	55	45	48	55	76
slab heating melbourne		9	7	9	9	8	7	8	7	6	8	8	12	10	10	16	24	27	16	20	13	25	24	34	34	40	40	24	26	25	24	27	12	14	15	15	10	29	14	20	15	24
split system installation melbourne		26	22	33	38	36	43	38	58	40	21	25	23	36	44	32	46	46	29	28	40	-	29	20	20	24	12	16	12	13	13	13	10	10	11	12	11	14	12	15	15	27
split systems		-	-	-	-	-	-	-	-	-	92	78	75	90	85	75	60	74	34	35	50	-	74	-	56	65	67	65	72	74	81	69	76	78	61	71	62	54	40	-	-	-
split systems melbourne		-	21	-	-	-	-	78	48	66	43	59	74	87	65	56	92	84	55	61	56	60	44	45	32	31	29	26	49	58	35	33	33	-	31	32	41	42	39	42	45	78
underfloor heating melbourne		10	11	12	12	12	13	18	20	18	17	19	23	32	43	44	57	-	-	49	26	46	45	46	49	52	58	44	52	70	70	63	38	37	39	38	49	53	47	47	35	29
vrv air conditioning		16	33	31	44	46	44	44	41	45	25	91	-	23	47	24	34	39	38	42	30	36	28	28	25	30	30	27	27	26	27	50	70	67	71	73	41	48	60	-	45	78
air conditioning balwyn		5	11	11	11	14	16	14	6	6	7	8	3	4	8	5	5	11	5	4	4	4	4	3	2	4	5	7	7	8	8	6	6	7	6	6	5	3	2	3	2	3
air conditioning bayswater		26	14	30	29	26	35	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27	23	22	9	8	10	9	6	6	6	3	2	3	3	1	3	2	3	5	3
air conditioning blackburn		19	12	16	17	18	14	13	12	7	12	9	5	7	8	7	4	10	7	5	3	2	2	1	1	2	2	2	2	2	2	2	2	2	3	3	5	4	2	2	2	2
air conditioning box hill		72	37	66	65	64	86	-	-	17	-	-	-	-	-	9	-	-	-	-	-	-	14	15	13	13	18	20	11	17	18	14	16	16	14	12	13	15	6	8	7	8
air conditioning brighton		-	-	-	49	44	33	24	11	10	10	9	10	12	10	7	8	7	7	7	7	8	8	8	6	8	8	8	11	9	8	7	11	10	10	8	5	5	6	9	5	10
air conditioning bulleen		20	14	17	25	32	28	12	11	10	12	11	9	10	9	10	8	9	7	4	7	6	7	5	6	6	9	7	9	7	9	7	10	10	10	10	7	10	11	9	9	8
air conditioning camberwell		20	26	31	33	42	33	15	13	12	10	10	12	12	12	13	11	13	18	11	11	10	11	9	9	10	10	12	12	14	12	11	14	14	9	9	9	11	11	6	7	4
air conditioning chadstone		6	9	7	6	8	6	7	4	4	6	5	2	3	3	3	2	3	2	2	2	2	4	2	4	4	4	4	5	4	5	8	8	8	8	7	6	11	7	7	6	7
air conditioning croydon		17	12	20	12	12	13	13	16	16	-	-	-	-	-	-	-	-	-	-	-	-	7	7	4	5	2	2	2	1	3	2	1	1	2	2	1	1	1	1	1	1
air conditioning doncaster		10	11	15	7	13	17	5	3	2	3	9	2	2	4	3	3	3	5	5	6	8	3	3	3	3	3	5	5	4	4	4	4	4	4	4	4	4	3	3	2	3
air conditioning eastern suburbs		4	5	5	4	6	5	6	4	2	2	2	3	3	5	6	4	4	1	1	2	2	2	2	2	1	1	1	1	1	3	2	3	3	2	1	1	2	4	4	3	2
air conditioning ferntree gully		60	18	54	36	55	63	11	12	10	13	10	12	12	10	10	10	9	9	8	8	9	7	7	7	8	8	9	7	5	5	4	4	4	4	4	4	4	3	2	4	3
air conditioning forest hill		-	-	-	-	-	-	9	9	7	8	9	7	8	8	8	4	4	2	2	4	4	3	3	1	1	1	3	3	5	3	5	7	7	7	6	4	4	5	6	5	3
air conditioning glen iris		14	18	22	28	21	18	7	9	11	13	9	9	9	10	9	7	4	3	3	3	3	3	3	3	3	3	3	4	4	4	3	4	4	5	5	2	2	3	4	1	4
air conditioning glen waverley		-	16	-	51	-	-	14	9	7	6	5	6	6	6	5	3	4	3	4	4	5	5	6	5	4	4	5	5	5	5	2	3	4	2	2	2	2	2	2	3	3
air conditioning greensborough		52	54	54	51	44	32	10	10	11	10	10	9	9	11	8	8	8	7	6	8	7	5	8	5	5	6	8	6	6	7	8	9	10	8	8	6	8	11	10	10	10
air conditioning hawthorn		29	25	23	31	31	32	12	11	9	14	11	10	10	10	11	12	13	13	11	11	7	4	4	3	7	6	7	6	6	6	6	7	7	6	6	3	4	2	4	5	6
air conditioning kew		16	20	24	17	21	19	12	6	5	4	4	3	3	3	3	1	3	1	3	2	3	2	3	1	2	1	1	2	2	2	1	1	1	2	2	2	2	4	4	4	4
air conditioning lilydale		8	11	7	12	14	21	-	-	-	-	5	-	-	-	9	3	2	3	3	3	3	3	4	3	4	3	4	3	3	3	3	3	3	3	3	2	2	2	2	2	2
air conditioning malvern		-	13	7	19	14	15	12	14	17	13	14	10	13	11	8	10	11	8	10	10	14	11	6	6	7	12	11	12	12	10	13	18	18	18	15	7	17	8	13	12	13
air conditioning maroondah		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
air conditioning mitcham		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
air conditioning montrose		-	-	-	-	-	-	4	4	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	4	4	2	2	2	1	2	2
air conditioning mooroolbark		-	84	-	-	53	66	9	9	10	9	7	8	8	7	6	6	6	6	6	5	5	5	6	4	4	7	5	3	3	3	3	3	3	3	3	3	3	3	2	1	2
air conditioning nunawading		9	9	5	9	4	3	4	3	4	6	3	3	4	3	2	1	1	1	1	2	2	2	2	2	2	2	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1
air conditioning ringwood		6	9	7	6	6	8	-	-	-	-	-	-	-	-	-	13	-	-	-	-	8	7	5	5	7	5	5	3	2	2	5	3	2	1	2	2	1	1	1	1	1
air conditioning surrey hills		23	22	33	22	25	43	7	13	9	10	9	7	8	8	7	7	8	4	4	4	5	5	5	3	3	3	10	8	6	5	2	3	2	2	1	2	2	2	1	2	3
air conditioning templestowe		9	7	10	10	9	12	8	7	6	7	6	6	6	6	5	4	2	2	1	2	2	2	2	2	4	4	4	4	4	5	13	10	8	12	13	6	7	6	7	9	8
air conditioning vermont		1	2	1	2	3	2	2	2	3	3	6	2	3	3	2	5	5	3	3	5	4	4	3	3	4	2	2	2	2	2	2	2	2	2	1	1	2	1	1	-	32
air conditioning wantirna		76	79	82	69	74	64	10	9	10	9	10	7	7	8	7	11	10	8	8	8	8	7	10	9	9	11	14	9	6	3	3	3	3	2	2	2	2	3	2	2	2
air conditioning warrandyte		-	-	-	-	-	-	6	7	7	5	5	4	6	6	4	5	5	6	4	6	6	7	8	6	7	7	7	6	4	6	5	4	4	4	3	4	3	4	6	3	5
ducted heating balwyn		16	15	16	17	17	15	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1
ducted heating bayswater		10	18	14	11	14	11	-	-	3	2	1	2	2	1	1	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ducted heating blackburn		22	17	21	24	26	35	-	3	-	-	1	-	-	-	1	-	-	-	-	-	-	6	5	5	3	4	2	3	3	3	2	3	3	3	3	2	1	1	1	1	1
ducted heating box hill		29	30	26	34	24	32	-	-	2	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	3	3	2	2	1	1	1	1
ducted heating brighton		-	-	-	27	29	26	2	2	2	3	2	2	3	3	2	1	1	6	7	8	7	9	9	8	8	7	2	2	1	1	2	2	2	1	1	1	1	1	1	1	5
ducted heating bulleen		9	9	8	15	17	14	1	1	1	1	1	4	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	3
ducted heating camberwell		27	29	27	25	33	32	2	1	1	1	1	2	1	1	1	1	1	3	3	3	3	3	2	1	1	1	1	2	2	2	3	3	2	3	2	2	1	1	1	2	2
ducted heating chadstone		10	10	9	8	17	12	1	2	1	1	1	2	2	2	1	2	2	2	2	2	3	1	3	2	3	2	1	1	1	1	1	1	2	2	1	1	1	2	2	2	3
ducted heating croydon		4	4	4	4	3	5	-	-	3	-	-	-	-	-	6	-	-	-	-	-	-	9	9	7	7	4	5	5	5	5	4	5	5	4	4	3	3	2	2	2	3
ducted heating doncaster		39	-	-	-	40	-	3	3	3	3	3	3	5	4	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1
ducted heating eastern suburbs		-	-	-	-	-	14	4	5	3	2	2	-	-	-	2	2	-	-	-	-	-	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ducted heating ferntree gully		23	25	23	27	28	29	-	4	-	-	-	-	-	-	-	-	-	-	-	-	-	6	6	5	4	6	7	4	4	4	4	4	5	6	4	4	4	3	3	3	2
ducted heating forest hill		-	-	-	-	-	-	2	1	1	1	1	2	2	3	2	3	3	2	2	2	1	1	4	1	1	1	1	3	3	2	2	1	1	2	3	2	2	2	1	2	4
ducted heating glen iris		4	6	8	3	4	3	2	1	2	1	2	2	2	2	1	1	1	1	1	2	1	1	2	1	2	2	2	2	2	2	1	1	2	2	2	2	2	3	3	3	3
ducted heating glen waverley		-	22	56	57	51	-	1	1	2	1	1	5	5	6	4	6	2	2	3	1	2	1	3	2	2	2	2	2	3	3	3	4	3	4	5	1	1	1	1	1	1
ducted heating greensborough		17	19	16	15	12	10	6	5	6	6	7	9	9	-	8	9	8	7	8	8	8	8	5	7	4	6	6	6	5	5	5	4	4	5	5	5	8	6	8	8	7
ducted heating hawthorn		17	18	15	15	15	17	1	1	2	3	2	3	4	5	3	3	2	5	4	4	4	3	4	2	2	2	2	2	2	2	1	3	3	3	2	1	3	2	3	3	3
ducted heating kew		9	8	12	10	8	4	6	4	2	4	3	4	5	3	3	3	4	3	3	5	3	5	3	3	3	2	2	2	2	3	3	2	2	2	2	2	3	4	3	4	3
ducted heating lilydale		30	28	26	28	28	24	-	8	7	5	-	-	7	-	-	-	-	-	-	-	-	5	4	4	3	3	3	4	4	4	3	3	3	3	3	1	1	2	2	2	2
ducted heating malvern		7	8	8	4	4	5	4	3	1	1	2	4	3	3	3	2	3	3	2	3	1	7	7	3	8	1	8	5	4	5	4	4	4	3	3	2	2	2	2	3	3
ducted heating maroondah		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ducted heating mitcham		2	3	3	2	3	1	2	3	3	2	3	4	2	1	1	1	2	1	1	1	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
ducted heating montrose		-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ducted heating mooroolbark		-	-	-	-	30	27	5	5	2	4	3	4	4	4	3	4	4	3	2	2	4	4	3	3	2	3	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1
ducted heating nunawading		1	1	1	1	1	1	3	2	1	1	1	1	1	1	1	2	2	2	3	2	3	3	2	3	3	2	2	2	3	3	2	1	1	2	1	1	1	1	1	1	1
ducted heating ringwood		4	4	5	4	6	7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	4	5	5	5	5	5	5	5	5	5	5	5	4	4	2	3	2	1	1	2
ducted heating surrey hills		28	16	34	31	29	30	1	1	1	1	1	3	2	4	2	2	3	2	3	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
ducted heating templestowe		6	5	5	5	7	6	2	3	1	1	1	7	7	7	7	3	3	4	3	2	2	3	4	7	1	7	8	6	7	2	1	1	1	2	2	1	1	1	1	4	3
ducted heating vermont		9	8	8	5	3	4	4	3	1	2	1	2	2	2	2	1	2	3	3	2	2	2	1	1	1	4	3	3	2	1	1	1	1	1	1	1	1	1	1	1	1
ducted heating wantirna		65	63	63	68	65	68	4	2	3	2	2	4	5	4	3	4	4	3	3	3	4	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ducted heating warrandyte		74	80	78	-	76	79	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	3	1	1	1	1	1	1	3	4	3	3	4	3	2	1	1	1	1	1
evaporative cooling balwyn		8	8	8	4	6	6	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
evaporative cooling bayswater		20	15	18	11	11	5	4	2	3	4	4	5	6	4	4	3	3	3	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1
